Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Anderlecht,34,25.7,56.8,30,330,2700,30.0,46,35,81,42,4,4,51,2,44.3,41.6,34.3,75.9,517,1328,1.53,1.17,2.7,1.4,2.57,1.48,1.14,2.62,1.39,2.53
Antwerp,36,26.4,53.3,30,330,2700,30.0,43,29,72,41,2,4,66,2,37.5,34.3,27.5,61.8,439,1196,1.43,0.97,2.4,1.37,2.33,1.25,0.92,2.17,1.14,2.06
Beerschot,30,24.6,48.3,30,330,2700,30.0,25,20,45,24,1,5,65,6,32.4,28.6,22.0,50.6,523,998,0.83,0.67,1.5,0.8,1.47,1.08,0.73,1.81,0.95,1.69
Cercle Brugge,29,23.2,45.7,30,330,2700,30.0,29,21,50,27,2,3,52,5,40.4,38.0,28.9,66.9,389,1174,0.97,0.7,1.67,0.9,1.6,1.35,0.96,2.31,1.27,2.23
Charleroi,29,24.4,52.9,30,330,2700,30.0,36,19,55,32,4,5,62,3,47.7,43.8,33.0,76.7,555,1397,1.2,0.63,1.83,1.07,1.7,1.59,1.1,2.69,1.46,2.56
Club Brugge,25,25.6,58.8,30,330,2700,30.0,65,48,113,61,4,5,40,2,66.1,62.2,50.8,113.0,638,1601,2.17,1.6,3.77,2.03,3.63,2.2,1.69,3.9,2.07,3.77
Dender,27,26.0,43.0,30,330,2700,30.0,31,22,53,29,2,2,62,5,31.7,30.2,24.3,54.5,343,1081,1.03,0.73,1.77,0.97,1.7,1.06,0.81,1.87,1.01,1.82
Genk,25,24.0,59.0,30,330,2700,30.0,54,33,87,46,8,10,43,3,60.9,53.0,42.6,95.7,554,1521,1.8,1.1,2.9,1.53,2.63,2.03,1.42,3.45,1.77,3.19
Gent,36,25.2,52.2,30,330,2700,30.0,40,29,69,37,3,4,60,3,40.8,37.6,30.0,67.6,587,1339,1.33,0.97,2.3,1.23,2.2,1.36,1.0,2.36,1.25,2.25
Kortrijk,33,25.0,43.0,30,330,2700,30.0,27,21,48,26,1,1,69,4,33.7,32.9,26.0,58.9,445,1129,0.9,0.7,1.6,0.87,1.57,1.12,0.87,1.99,1.1,1.96
Mechelen,27,26.2,53.1,30,330,2700,30.0,43,24,67,41,2,3,63,1,44.6,42.2,31.0,73.2,491,1257,1.43,0.8,2.23,1.37,2.17,1.49,1.03,2.52,1.41,2.44
OH Leuven,31,25.3,48.4,30,330,2700,30.0,27,21,48,24,3,3,72,6,31.2,28.8,21.7,50.5,512,959,0.9,0.7,1.6,0.8,1.5,1.04,0.72,1.76,0.96,1.68
Sint-Truiden,32,25.3,47.3,30,330,2700,30.0,38,28,66,35,3,4,62,5,40.6,37.4,28.4,65.8,484,1124,1.27,0.93,2.2,1.17,2.1,1.35,0.95,2.3,1.25,2.19
Standard Liège,33,23.7,40.9,30,330,2700,30.0,22,8,30,14,8,9,51,2,35.7,28.6,20.5,49.1,409,938,0.73,0.27,1.0,0.47,0.73,1.19,0.68,1.87,0.95,1.64
Union SG,29,25.4,50.3,30,330,2700,30.0,46,32,78,40,6,7,71,3,55.4,50.0,41.3,91.3,551,1328,1.53,1.07,2.6,1.33,2.4,1.85,1.38,3.23,1.67,3.04
Westerlo,30,23.3,47.2,30,330,2700,30.0,50,33,83,45,5,6,83,3,48.9,44.3,31.8,76.1,568,1348,1.67,1.1,2.77,1.5,2.6,1.63,1.06,2.69,1.48,2.54
