Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Anderlecht,2,30.0,27,0,0,3,0,43.2,0.31,16.2,0.54,170,426,39.9,1168,115,32.6,31.2,229,19.7,22.9,420,22,5.2,38,1.27,12.6
Antwerp,1,30.0,32,2,0,5,2,44.5,0.25,14.5,0.48,137,369,37.1,896,167,34.6,33.6,229,25.8,26.8,394,44,11.2,21,0.7,10.5
Beerschot,2,30.0,59,10,2,8,1,60.4,0.32,2.4,0.08,109,415,26.3,858,115,39.6,34.8,250,30.0,28.6,486,15,3.1,42,1.4,13.0
Cercle Brugge,2,30.0,44,2,0,6,0,50.4,0.36,6.4,0.21,176,612,28.8,625,55,71.5,47.6,179,92.2,61.4,351,11,3.1,62,2.07,20.7
Charleroi,3,30.0,36,3,0,6,1,39.7,0.29,4.7,0.16,169,415,40.7,851,146,39.0,34.6,189,43.9,34.5,351,33,9.4,45,1.5,13.7
Club Brugge,2,30.0,36,3,0,2,2,36.7,0.32,2.7,0.09,147,305,48.2,878,116,29.6,30.0,213,21.1,25.3,376,20,5.3,27,0.9,13.7
Dender,3,30.0,51,8,1,4,2,53.0,0.3,4.0,0.13,160,455,35.2,566,89,59.4,38.0,253,47.0,36.4,486,21,4.3,11,0.37,17.4
Genk,2,30.0,33,2,0,3,0,34.3,0.33,1.3,0.04,163,366,44.5,987,100,31.2,30.4,201,28.9,27.6,374,19,5.1,12,0.4,11.6
Gent,3,30.0,33,1,1,2,1,52.2,0.33,20.2,0.67,126,325,38.8,815,191,29.0,29.9,249,35.7,31.2,479,31,6.5,15,0.5,4.0
Kortrijk,4,30.0,55,2,2,4,3,57.0,0.39,5.0,0.17,174,440,39.5,608,158,51.8,36.4,230,54.3,40.6,453,32,7.1,29,0.97,15.8
Mechelen,1,30.0,40,5,0,5,4,45.3,0.3,9.3,0.31,130,372,34.9,902,150,32.0,32.7,260,31.9,31.2,473,32,6.8,23,0.77,11.4
OH Leuven,2,30.0,33,4,0,5,2,43.3,0.3,12.3,0.41,185,537,34.5,1001,163,39.6,39.2,276,51.1,42.5,491,31,6.3,29,0.97,14.0
Sint-Truiden,2,30.0,56,10,0,7,2,53.9,0.33,-0.1,0.0,125,365,34.2,773,112,39.1,38.4,254,24.8,28.2,535,22,4.1,36,1.2,6.7
Standard Liège,4,30.0,35,0,1,5,1,42.9,0.31,8.9,0.3,176,561,31.4,660,99,57.1,43.9,254,72.4,48.9,489,35,7.2,43,1.43,7.4
Union SG,1,30.0,25,1,1,6,0,33.7,0.35,8.7,0.29,194,444,43.7,796,99,48.7,38.7,178,31.5,28.5,411,19,4.6,25,0.83,12.3
Westerlo,4,30.0,49,5,0,7,1,49.3,0.32,1.3,0.04,168,445,37.8,869,132,38.8,36.7,251,43.0,37.2,461,22,4.8,40,1.33,13.0
