Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Anderlecht,34,30.0,13448,16377,82.1,242619,81537,5500,6245,88.1,6150,7015,87.7,1347,2298,58.6,35,34.3,35.3,0.7,306,1079,310,78,1328
Antwerp,36,30.0,12254,15132,81.0,234254,84961,4507,5196,86.7,5992,6873,87.2,1461,2437,60.0,29,27.5,25.8,1.5,291,884,230,42,1196
Beerschot,30,30.0,10501,13329,78.8,185586,67875,4450,5120,86.9,4610,5371,85.8,1033,2076,49.8,20,22.0,21.5,-2.0,248,821,180,48,998
Cercle Brugge,29,30.0,7402,11614,63.7,140368,61225,2804,3880,72.3,3449,4794,71.9,926,2299,40.3,21,28.9,30.8,-7.9,280,871,224,60,1174
Charleroi,29,30.0,12050,15364,78.4,224146,84691,4734,5615,84.3,5343,6403,83.4,1527,2519,60.6,19,33.0,35.2,-14.0,323,1128,283,83,1397
Club Brugge,25,30.0,15167,17997,84.3,288629,96365,5582,6388,87.4,7349,8132,90.4,1822,2677,68.1,48,50.8,48.4,-2.8,418,1264,377,91,1601
Dender,27,30.0,9429,12885,73.2,176002,71553,3696,4551,81.2,4242,5256,80.7,1144,2356,48.6,22,24.3,29.3,-2.3,226,832,215,64,1081
Genk,25,30.0,15138,17861,84.8,283652,96126,5759,6479,88.9,7236,8065,89.7,1736,2590,67.0,33,42.6,46.5,-9.6,381,1161,345,83,1521
Gent,36,30.0,11717,15008,78.1,222403,79747,4394,5306,82.8,5551,6473,85.8,1464,2508,58.4,29,30.0,27.4,-1.0,282,933,244,55,1339
Kortrijk,33,30.0,8826,12184,72.4,168866,67956,3397,4262,79.7,3887,4912,79.1,1206,2328,51.8,21,26.0,25.3,-5.0,242,939,213,62,1129
Mechelen,27,30.0,12697,15701,80.9,250575,83031,4296,4998,86.0,6403,7228,88.6,1686,2800,60.2,24,31.0,30.9,-7.0,288,1042,251,61,1257
OH Leuven,31,30.0,10171,12983,78.3,203473,74054,3470,4121,84.2,5020,5825,86.2,1442,2468,58.4,21,21.7,21.7,-0.7,268,779,184,46,959
Sint-Truiden,32,30.0,11558,14603,79.1,213134,75398,4560,5304,86.0,5327,6231,85.5,1296,2310,56.1,28,28.4,27.3,-0.4,289,879,240,81,1124
Standard Liège,33,30.0,8723,11926,73.1,165510,64386,3415,4191,81.5,3934,4877,80.7,1115,2220,50.2,8,20.5,23.8,-12.5,226,695,202,49,938
Union SG,29,30.0,10842,14002,77.4,202195,80461,4292,5177,82.9,4800,5741,83.6,1343,2265,59.3,32,41.3,37.7,-9.3,336,997,261,54,1328
Westerlo,30,30.0,9617,12834,74.9,191050,73197,3351,4209,79.6,4467,5405,82.6,1477,2547,58.0,33,31.8,30.0,1.2,345,973,263,81,1348
