Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Anderlecht,2,30,30,2700,30.0,50,1.67,140,94,67.1,9,6,15,9,30.0,4,4,0,0,0.0
vs Antwerp,1,30,30,2700,30.0,46,1.53,148,104,70.3,8,10,12,7,23.3,4,2,1,1,33.3
vs Beerschot,2,30,30,2700,30.0,26,0.87,109,81,77.1,18,9,3,14,46.7,5,1,3,1,75.0
vs Cercle Brugge,2,30,30,2700,30.0,29,0.97,133,103,79.7,12,11,7,10,33.3,3,2,1,0,33.3
vs Charleroi,3,30,30,2700,30.0,36,1.2,142,105,77.5,13,7,10,10,33.3,5,4,1,0,20.0
vs Club Brugge,2,30,30,2700,30.0,65,2.17,199,133,69.3,5,8,17,1,3.3,5,4,1,0,20.0
vs Dender,3,30,30,2700,30.0,33,1.1,95,64,67.4,14,8,8,11,36.7,2,2,0,0,0.0
vs Genk,2,30,30,2698,30.0,55,1.83,173,117,72.8,4,5,21,4,13.3,10,8,2,0,20.0
vs Gent,3,30,30,2700,30.0,41,1.37,128,87,70.3,7,12,11,8,26.7,4,3,1,0,25.0
vs Kortrijk,4,30,30,2700,30.0,28,0.93,103,76,73.8,18,5,7,11,36.7,1,1,0,0,0.0
vs Mechelen,1,30,30,2697,30.0,45,1.5,151,107,71.5,12,8,10,6,20.0,3,2,1,0,33.3
vs OH Leuven,2,30,30,2700,30.0,28,0.93,95,68,73.7,9,13,8,12,40.0,3,3,0,0,0.0
vs Sint-Truiden,2,30,30,2700,30.0,41,1.37,129,90,70.5,13,10,7,5,16.7,4,3,1,0,25.0
vs Standard Liège,4,30,30,2699,30.0,22,0.73,98,75,85.7,11,9,10,14,46.7,9,8,1,0,11.1
vs Union SG,1,30,30,2700,30.0,49,1.63,161,114,73.3,5,10,15,8,26.7,7,6,1,0,14.3
vs Westerlo,4,30,30,2700,30.0,50,1.67,174,123,74.1,13,7,10,5,16.7,6,5,1,0,16.7
