Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Anderlecht,2,30,30,2700,30.0,27,0.9,138,109,80.4,15,6,9,14,46.7,2,0,2,0,100.0
Antwerp,1,30,30,2700,30.0,32,1.07,161,127,81.4,12,10,8,7,23.3,6,2,4,0,66.7
Beerschot,2,30,30,2697,30.0,59,1.97,164,105,70.1,3,9,18,5,16.7,11,10,1,0,9.1
Cercle Brugge,2,30,30,2698,30.0,44,1.47,134,89,68.7,7,11,12,7,23.3,3,2,1,0,33.3
Charleroi,3,30,30,2700,30.0,36,1.2,125,89,73.6,10,7,13,7,23.3,4,3,1,0,25.0
Club Brugge,2,30,30,2700,30.0,36,1.2,106,71,68.9,17,8,5,8,26.7,4,3,1,0,25.0
Dender,3,30,30,2700,30.0,51,1.7,157,108,72.6,8,8,14,7,23.3,8,8,0,0,0.0
Genk,2,30,30,2699,30.0,33,1.1,104,71,70.2,21,5,4,12,40.0,3,2,0,1,0.0
Gent,3,30,30,2700,30.0,33,1.1,159,127,79.9,11,12,7,13,43.3,1,1,0,0,0.0
Kortrijk,4,30,30,2700,30.0,55,1.83,141,89,62.4,7,5,18,3,10.0,2,2,0,0,0.0
Mechelen,1,30,30,2700,30.0,40,1.33,142,106,75.4,10,8,12,9,30.0,5,5,0,0,0.0
OH Leuven,2,30,30,2700,30.0,33,1.1,131,99,77.9,8,13,9,9,30.0,5,4,1,0,20.0
Sint-Truiden,2,30,30,2700,30.0,56,1.87,139,84,66.9,7,10,13,4,13.3,11,10,1,0,9.1
Standard Liège,4,30,30,2700,30.0,35,1.17,137,102,74.5,10,9,11,12,40.0,1,0,1,0,100.0
Union SG,1,30,30,2700,30.0,25,0.83,99,74,75.8,15,10,5,13,43.3,2,1,0,1,0.0
Westerlo,4,30,30,2700,30.0,49,1.63,141,91,68.8,10,7,13,5,16.7,7,5,2,0,28.6
