Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Anderlecht,34,30.0,46,396,136,34.3,13.2,4.53,0.11,0.31,17.1,13,4,4,44.3,41.6,0.11,1.7,0.4
Antwerp,36,30.0,43,409,145,35.5,13.63,4.83,0.1,0.28,17.8,11,2,4,37.5,34.3,0.09,5.5,6.7
Beerschot,30,30.0,25,337,105,31.2,11.23,3.5,0.07,0.23,18.7,13,1,5,32.4,28.6,0.09,-7.4,-4.6
Cercle Brugge,29,30.0,29,408,130,31.9,13.6,4.33,0.07,0.21,16.6,11,2,3,40.4,38.0,0.1,-11.4,-11.0
Charleroi,29,30.0,36,421,137,32.5,14.03,4.57,0.08,0.23,17.3,11,4,5,47.7,43.8,0.11,-11.7,-11.8
Club Brugge,25,30.0,65,515,194,37.7,17.17,6.47,0.12,0.31,16.1,7,4,5,66.1,62.2,0.12,-1.1,-1.2
Dender,27,30.0,31,311,93,29.9,10.37,3.1,0.09,0.31,16.5,8,2,2,31.7,30.2,0.1,-0.7,-1.2
Genk,25,30.0,54,480,163,34.0,16.0,5.43,0.1,0.28,16.2,10,8,10,60.9,53.0,0.11,-6.9,-7.0
Gent,36,30.0,40,374,124,33.2,12.47,4.13,0.1,0.3,17.2,8,3,4,40.8,37.6,0.1,-0.8,-0.6
Kortrijk,33,30.0,27,339,102,30.1,11.3,3.4,0.08,0.25,16.7,16,1,1,33.7,32.9,0.1,-6.7,-6.9
Mechelen,27,30.0,43,386,148,38.3,12.87,4.93,0.11,0.28,17.1,6,2,3,44.6,42.2,0.11,-1.6,-1.2
OH Leuven,31,30.0,27,360,92,25.6,12.0,3.07,0.07,0.26,17.7,7,3,3,31.2,28.8,0.08,-4.2,-4.8
Sint-Truiden,32,30.0,38,386,125,32.4,12.87,4.17,0.09,0.28,17.9,13,3,4,40.6,37.4,0.1,-2.6,-2.4
Standard Liège,33,30.0,22,311,89,28.6,10.37,2.97,0.05,0.16,17.4,11,8,9,35.7,28.6,0.09,-13.7,-14.6
Union SG,29,30.0,46,427,154,36.1,14.23,5.13,0.09,0.26,15.9,10,6,7,55.4,50.0,0.12,-9.4,-10.0
Westerlo,30,30.0,50,471,168,35.7,15.7,5.6,0.1,0.27,17.3,10,5,6,48.9,44.3,0.1,1.1,0.7
