Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Anderlecht,34,24.9,43.2,30,330,2700,30.0,27,18,45,27,0,2,68,5,42.1,40.5,30.5,70.9,495,1011,0.9,0.6,1.5,0.9,1.5,1.4,1.02,2.42,1.35,2.36
vs Antwerp,36,25.0,46.7,30,330,2700,30.0,30,19,49,28,2,6,63,3,45.0,40.5,31.9,72.4,569,1213,1.0,0.63,1.63,0.93,1.57,1.5,1.06,2.56,1.35,2.41
vs Beerschot,30,25.0,51.7,30,330,2700,30.0,58,34,92,48,10,11,51,3,55.5,47.0,36.4,83.4,549,1451,1.93,1.13,3.07,1.6,2.73,1.85,1.21,3.06,1.57,2.78
vs Cercle Brugge,29,25.1,54.3,30,330,2700,30.0,44,35,79,42,2,3,63,4,46.5,44.1,36.0,80.1,379,1012,1.47,1.17,2.63,1.4,2.57,1.55,1.2,2.75,1.47,2.67
vs Charleroi,29,25.0,47.1,30,330,2700,30.0,35,24,59,32,3,4,47,3,34.8,31.6,24.4,56.0,438,1120,1.17,0.8,1.97,1.07,1.87,1.16,0.81,1.97,1.05,1.87
vs Club Brugge,25,24.9,41.2,30,330,2700,30.0,34,25,59,31,3,4,69,4,34.3,31.2,24.5,55.7,469,975,1.13,0.83,1.97,1.03,1.87,1.14,0.82,1.96,1.04,1.86
vs Dender,27,24.9,57.0,30,330,2700,30.0,49,31,80,41,8,8,46,1,50.4,44.2,35.0,79.2,657,1578,1.63,1.03,2.67,1.37,2.4,1.68,1.17,2.85,1.47,2.64
vs Genk,25,25.1,41.0,30,330,2700,30.0,33,23,56,31,2,3,68,4,35.2,32.9,26.4,59.3,469,1080,1.1,0.77,1.87,1.03,1.8,1.17,0.88,2.05,1.1,1.98
vs Gent,36,24.9,47.8,30,330,2700,30.0,32,22,54,31,1,1,67,4,46.7,45.9,35.2,81.1,529,1123,1.07,0.73,1.8,1.03,1.77,1.56,1.17,2.73,1.53,2.7
vs Kortrijk,33,25.0,57.0,30,330,2700,30.0,52,39,91,50,2,2,64,3,45.8,44.2,35.6,79.8,467,1354,1.73,1.3,3.03,1.67,2.97,1.53,1.19,2.71,1.47,2.66
vs Mechelen,27,24.8,46.9,30,330,2700,30.0,36,25,61,31,5,5,57,3,42.6,38.7,32.7,71.4,499,1237,1.2,0.83,2.03,1.03,1.87,1.42,1.09,2.51,1.29,2.38
vs OH Leuven,31,24.9,51.6,30,330,2700,30.0,31,25,56,27,4,5,66,5,39.5,35.6,29.5,65.1,526,1378,1.03,0.83,1.87,0.9,1.73,1.32,0.98,2.3,1.19,2.17
vs Sint-Truiden,32,24.9,52.7,30,330,2700,30.0,54,30,84,44,10,11,53,5,48.8,40.5,30.7,71.2,535,1419,1.8,1.0,2.8,1.47,2.47,1.63,1.02,2.65,1.35,2.37
vs Standard Liège,33,24.9,59.1,30,330,2700,30.0,34,25,59,34,0,1,68,3,42.9,41.9,32.2,74.2,458,1366,1.13,0.83,1.97,1.13,1.97,1.43,1.07,2.5,1.4,2.47
vs Union SG,29,25.0,49.7,30,330,2700,30.0,25,17,42,24,1,2,86,5,31.8,30.3,21.8,52.1,437,1071,0.83,0.57,1.4,0.8,1.37,1.06,0.73,1.79,1.01,1.74
vs Westerlo,30,25.1,52.9,30,330,2700,30.0,48,31,79,43,5,7,57,2,50.1,44.4,31.5,76.0,529,1330,1.6,1.03,2.63,1.43,2.47,1.67,1.05,2.72,1.48,2.53
