Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs Atlético Mineiro,2,13.0,14,1,0,5,2,15.9,0.25,3.9,0.3,51,167,30.5,277,45,37.5,35.7,122,51.6,42.1,231,10,4.3,4,0.31,9.2
vs Bahia,2,13.0,16,2,0,0,1,15.2,0.31,0.2,0.01,37,121,30.6,210,33,43.8,37.5,101,28.7,29.6,177,11,6.2,22,1.69,16.7
vs Botafogo (RJ),1,13.0,16,1,0,1,0,17.9,0.27,1.9,0.15,49,143,34.3,331,65,31.7,32.5,106,35.8,32.4,193,17,8.8,9,0.69,12.1
vs Ceará,2,13.0,14,1,0,2,0,14.7,0.29,0.7,0.05,47,113,41.6,269,47,31.6,31.1,89,31.5,30.6,188,14,7.4,8,0.62,11.7
vs Corinthians,2,14.0,15,1,0,2,1,15.8,0.32,1.8,0.13,37,143,25.9,217,30,45.6,37.8,103,42.7,36.0,198,5,2.5,11,0.79,13.7
vs Cruzeiro,1,14.0,23,0,0,4,1,20.1,0.28,-1.9,-0.14,56,139,40.3,319,67,32.3,33.8,108,33.3,31.3,203,8,3.9,15,1.07,14.9
vs Flamengo,1,13.0,26,2,0,1,0,25.5,0.29,-0.5,-0.04,50,138,36.2,345,50,31.3,32.5,93,32.3,32.1,200,10,5.0,8,0.62,13.5
vs Fluminense,1,12.0,15,1,0,1,1,14.1,0.28,0.1,0.01,35,130,26.9,253,38,35.6,33.7,100,40.0,34.8,174,4,2.3,11,0.92,14.2
vs Fortaleza,2,13.0,12,2,0,2,0,14.4,0.26,2.4,0.19,51,149,34.2,268,40,39.9,35.0,102,41.2,35.7,220,7,3.2,9,0.69,14.3
vs Grêmio,1,13.0,13,2,0,1,1,15.9,0.26,3.9,0.3,34,98,34.7,271,51,26.9,30.6,80,31.3,32.7,167,3,1.8,23,1.77,17.0
vs Internacional,2,13.0,13,1,0,4,0,15.9,0.26,2.9,0.22,67,156,42.9,285,60,43.2,37.1,98,33.7,31.7,210,13,6.2,8,0.62,12.8
vs Juventude,2,12.0,10,0,0,1,0,7.5,0.21,-2.5,-0.21,41,135,30.4,270,40,39.3,36.2,88,33.0,33.8,148,4,2.7,12,1.0,16.0
vs Mirassol,2,12.0,18,4,1,1,1,18.3,0.3,1.3,0.11,53,119,44.5,246,44,35.8,35.0,88,35.2,31.9,149,7,4.7,12,1.0,15.1
vs Palmeiras,1,12.0,13,2,0,1,0,12.8,0.26,-0.2,-0.02,41,121,33.9,235,27,36.2,35.5,118,30.5,29.3,209,9,4.3,2,0.17,10.0
vs RB Bragantino,2,14.0,18,1,1,5,0,16.3,0.26,-1.7,-0.12,49,156,31.4,354,67,31.1,33.3,116,39.7,36.1,175,9,5.1,18,1.29,15.9
vs Santos,1,13.0,12,1,0,1,1,11.5,0.3,0.5,0.04,35,118,29.7,257,45,33.5,33.6,86,37.2,33.4,191,10,5.2,9,0.69,11.8
vs São Paulo,1,14.0,12,2,0,2,0,14.7,0.27,2.7,0.2,54,144,37.5,318,60,31.8,33.6,96,44.8,38.7,189,11,5.8,7,0.5,13.2
vs Sport Recife,2,12.0,5,0,0,1,1,10.9,0.23,6.9,0.58,54,160,33.8,263,41,43.0,37.1,100,47.0,39.7,192,8,4.2,2,0.17,9.4
vs Vasco da Gama,1,13.0,14,0,0,1,0,16.8,0.29,2.8,0.22,42,125,33.6,246,44,38.2,36.0,84,36.9,34.5,223,13,5.8,9,0.69,12.4
vs Vitória,2,14.0,10,0,0,3,0,12.4,0.22,2.4,0.17,38,120,31.7,278,57,30.9,32.2,91,37.4,35.1,221,11,5.0,23,1.64,15.0
