Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Atlético Mineiro,28,13.0,220,143,91,98,31,96,167,57.5,71,105,41,64,142,362,321,7
Bahia,27,13.0,215,139,101,87,27,84,201,41.8,117,120,52,68,98,313,318,8
Botafogo (RJ),30,13.0,205,136,106,71,28,106,203,52.2,97,128,47,81,95,300,302,3
Ceará,27,13.0,210,128,100,92,18,90,169,53.3,79,139,43,96,93,303,387,10
Corinthians,30,14.0,217,144,100,85,32,116,212,54.7,96,114,34,80,105,322,261,6
Cruzeiro,29,14.0,265,171,127,114,24,153,269,56.9,116,161,47,114,114,379,447,1
Flamengo,25,13.0,199,142,79,83,37,73,157,46.5,84,106,32,74,89,288,193,7
Fluminense,28,12.0,181,116,81,70,30,84,170,49.4,86,110,29,81,76,257,289,7
Fortaleza,32,13.0,247,145,126,94,27,142,253,56.1,111,127,38,89,105,352,335,7
Grêmio,31,13.0,249,165,128,89,32,139,222,62.6,83,140,52,88,120,369,391,5
Internacional,32,13.0,258,167,91,131,36,118,235,50.2,117,147,37,110,100,358,285,11
Juventude,32,12.0,184,112,98,69,17,68,172,39.5,104,153,67,86,104,288,319,10
Mirassol,27,12.0,189,126,85,84,20,71,174,40.8,103,143,51,92,112,301,340,9
Palmeiras,27,12.0,209,132,102,82,25,116,209,55.5,93,134,35,99,91,300,291,8
RB Bragantino,24,14.0,231,157,117,81,33,111,237,46.8,126,172,55,117,129,360,444,2
Santos,31,13.0,245,163,126,95,24,124,239,51.9,115,139,46,93,107,352,360,3
São Paulo,28,14.0,240,147,111,95,34,119,233,51.1,114,169,67,102,126,366,420,10
Sport Recife,30,12.0,188,124,87,78,23,96,198,48.5,102,117,33,84,98,286,291,8
Vasco da Gama,28,13.0,215,135,102,84,29,108,209,51.7,101,116,35,81,88,303,378,8
Vitória,29,14.0,205,125,103,75,27,102,196,52.0,94,136,53,83,113,318,405,5
