Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Atlético Mineiro,33,28.0,579,20.68,409,61,22,48,27,12,51,1.82,34,5,1,5,4,2
vs Bahia,30,29.0,625,21.55,452,47,30,42,37,17,54,1.86,36,6,2,6,4,0
vs Botafogo (RJ),38,29.0,621,21.41,450,50,37,32,37,15,43,1.48,35,2,2,3,1,0
vs Ceará,32,28.0,613,21.89,439,56,26,38,42,12,42,1.5,29,2,3,5,3,0
vs Corinthians,34,29.0,620,21.38,447,60,29,29,45,10,61,2.1,35,7,6,5,8,0
vs Cruzeiro,35,29.0,666,22.97,483,68,37,39,32,7,41,1.41,31,4,3,2,0,1
vs Flamengo,31,28.0,476,17.0,329,46,34,33,27,7,25,0.89,17,3,3,2,0,0
vs Fluminense,36,28.0,509,18.18,356,55,28,28,29,13,61,2.18,41,5,1,6,3,5
vs Fortaleza,44,28.0,649,23.18,454,58,44,43,39,11,80,2.86,59,4,7,3,6,1
vs Grêmio,39,29.0,785,27.07,559,73,37,65,42,9,62,2.14,43,4,1,7,7,0
vs Internacional,38,29.0,655,22.59,492,49,35,44,28,7,75,2.59,59,3,7,5,1,0
vs Juventude,43,29.0,766,26.41,544,62,41,60,46,13,88,3.03,52,7,5,15,9,0
vs Mirassol,33,29.0,690,23.79,514,51,37,42,32,14,54,1.86,40,3,2,6,2,1
vs Palmeiras,37,28.0,482,17.21,348,45,22,25,36,6,45,1.61,30,3,2,4,6,0
vs RB Bragantino,31,29.0,808,27.86,614,69,36,45,37,7,72,2.48,48,7,5,10,1,1
vs Santos,40,28.0,614,21.93,430,68,33,41,35,7,66,2.36,48,4,4,6,4,0
vs São Paulo,37,29.0,654,22.55,460,62,38,44,39,11,51,1.76,32,2,3,6,6,2
vs Sport Recife,40,28.0,748,26.71,536,65,42,57,37,11,80,2.86,61,4,5,3,7,0
vs Vasco da Gama,37,29.0,684,23.59,502,61,21,42,48,10,60,2.07,42,4,2,8,4,0
vs Vitória,38,29.0,780,26.9,583,62,25,44,53,13,78,2.69,61,5,3,7,1,1
