Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Atlético Mineiro,28,13.0,379,29.15,257,32,22,31,25,12,17,1.31,8,2,1,5,1,0
Bahia,27,13.0,281,21.62,210,15,22,14,18,2,30,2.31,24,0,4,0,2,0
Botafogo (RJ),30,13.0,350,26.92,287,22,6,19,12,4,27,2.08,23,1,0,3,0,0
Ceará,27,13.0,248,19.08,170,29,12,13,19,5,24,1.85,19,2,2,1,0,0
Corinthians,30,14.0,266,19.0,194,20,15,20,13,4,27,1.93,22,1,2,1,1,0
Cruzeiro,29,14.0,339,24.21,231,42,13,28,19,6,36,2.57,24,2,2,7,1,0
Flamengo,25,13.0,317,24.38,245,23,17,18,11,3,46,3.54,30,3,3,4,4,2
Fluminense,28,12.0,297,24.75,221,23,13,20,16,4,23,1.92,12,2,3,3,2,1
Fortaleza,32,13.0,301,23.15,198,40,12,22,24,5,21,1.62,14,2,0,3,2,0
Grêmio,31,13.0,257,19.77,174,23,17,24,15,4,20,1.54,11,2,2,2,2,1
Internacional,32,13.0,327,25.15,226,30,24,20,19,8,23,1.77,13,3,5,2,0,0
Juventude,32,12.0,201,16.75,142,13,8,12,17,9,19,1.58,17,1,0,1,0,0
Mirassol,27,12.0,264,22.0,186,25,18,18,13,4,30,2.5,19,1,1,4,4,1
Palmeiras,27,12.0,299,24.92,219,29,11,14,21,5,21,1.75,11,2,2,3,3,0
RB Bragantino,24,14.0,328,23.43,230,31,24,22,16,5,31,2.21,22,1,2,3,3,0
Santos,31,13.0,280,21.54,192,25,21,18,18,6,19,1.46,15,2,1,1,0,0
São Paulo,28,14.0,304,21.71,242,16,11,14,17,4,20,1.43,15,1,1,1,2,0
Sport Recife,30,12.0,266,22.17,192,19,16,18,15,6,8,0.67,7,1,0,0,0,0
Vasco da Gama,28,13.0,288,22.15,215,21,14,20,16,2,26,2.0,19,2,1,2,2,0
Vitória,29,14.0,278,19.86,199,24,15,19,16,5,18,1.29,12,2,0,2,2,0
