Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Atlético Mineiro,2,28,28,2520,28.0,26,0.93,116,92,78.4,11,9,8,11,39.3,1,1,0,0,0.0
vs Bahia,2,29,29,2610,29.0,40,1.38,124,85,70.2,8,7,14,4,13.8,4,3,1,0,25.0
vs Botafogo (RJ),3,29,29,2610,29.0,39,1.34,139,100,73.4,9,7,13,12,41.4,2,2,0,0,0.0
vs Ceará,2,28,28,2520,28.0,27,0.96,120,92,78.3,11,8,9,10,35.7,2,1,1,0,50.0
vs Corinthians,3,29,29,2610,29.0,31,1.07,96,65,69.8,11,9,9,8,27.6,4,2,2,0,50.0
vs Cruzeiro,2,29,29,2610,29.0,42,1.45,133,90,69.2,5,8,16,7,24.1,3,1,2,0,66.7
vs Flamengo,1,28,28,2520,28.0,56,2.0,146,89,64.4,3,7,18,5,17.9,5,4,1,0,20.0
vs Fluminense,1,28,28,2520,28.0,35,1.25,104,70,69.2,11,5,12,7,25.0,4,3,0,1,0.0
vs Fortaleza,5,28,28,2520,28.0,26,0.93,113,85,78.8,16,6,6,12,42.9,4,2,2,0,50.0
vs Grêmio,2,29,29,2610,29.0,30,1.03,109,80,78.9,11,9,9,9,31.0,7,7,0,0,0.0
vs Internacional,3,29,29,2607,29.0,35,1.21,130,95,79.2,12,8,9,6,20.7,9,8,0,1,0.0
vs Juventude,4,29,29,2610,29.0,23,0.79,87,63,75.9,17,5,7,13,44.8,3,2,1,0,33.3
vs Mirassol,2,29,29,2610,29.0,50,1.72,141,92,68.8,5,10,14,3,10.3,7,6,1,0,14.3
vs Palmeiras,3,28,28,2520,28.0,53,1.89,147,94,68.0,5,4,19,4,14.3,7,6,1,0,14.3
vs RB Bragantino,2,29,29,2610,29.0,34,1.17,119,85,74.8,13,6,10,4,13.8,4,4,0,0,0.0
vs Santos,2,28,28,2520,28.0,28,1.0,101,73,76.2,13,7,8,11,39.3,4,4,0,0,0.0
vs São Paulo,2,29,29,2610,29.0,31,1.07,102,69,71.6,11,8,10,11,37.9,5,2,2,1,50.0
vs Sport Recife,2,28,28,2520,28.0,21,0.75,114,95,83.3,15,11,2,12,42.9,2,2,0,0,0.0
vs Vasco da Gama,2,29,29,2610,29.0,46,1.59,140,95,70.7,12,6,11,8,27.6,5,5,0,0,0.0
vs Vitória,2,29,29,2610,29.0,27,0.93,115,88,78.3,12,10,7,11,37.9,2,2,0,0,0.0
