Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Atlético Mineiro,28,13.0,33,2,0,170,173,10,205,115,135,0,1,2,528,164,174,48.5
vs Bahia,27,13.0,40,3,0,159,153,24,280,90,124,3,2,1,495,171,150,53.3
vs Botafogo (RJ),30,13.0,38,1,1,155,176,20,224,114,108,0,1,0,499,156,172,47.6
vs Ceará,27,13.0,33,1,1,201,176,38,293,98,130,1,1,0,515,226,203,52.7
vs Corinthians,30,14.0,46,3,3,214,187,19,202,141,155,3,2,1,570,133,142,48.4
vs Cruzeiro,29,14.0,33,1,1,194,199,15,311,113,157,1,2,1,530,176,160,52.4
vs Flamengo,25,13.0,28,0,0,172,152,21,174,95,135,1,3,0,485,128,140,47.8
vs Fluminense,28,12.0,29,0,0,185,131,24,207,117,143,0,1,1,452,150,148,50.3
vs Fortaleza,32,13.0,23,1,0,163,151,34,207,85,122,1,3,0,513,163,168,49.2
vs Grêmio,31,13.0,35,0,0,168,162,28,273,115,150,2,2,1,526,161,201,44.5
vs Internacional,32,13.0,32,3,1,156,171,38,185,129,175,1,1,0,537,178,174,50.6
vs Juventude,32,12.0,31,1,1,175,163,11,207,83,125,2,0,0,474,171,151,53.1
vs Mirassol,27,12.0,32,0,0,169,143,15,276,117,119,1,5,1,518,158,160,49.7
vs Palmeiras,27,12.0,31,0,0,194,160,11,202,86,163,1,3,0,484,179,156,53.4
vs RB Bragantino,24,14.0,33,0,0,195,172,16,313,115,162,0,1,0,588,171,176,49.3
vs Santos,31,13.0,42,0,0,195,177,20,261,90,144,1,1,1,505,149,184,44.7
vs São Paulo,28,14.0,31,1,1,203,190,13,303,117,164,2,4,0,594,197,192,50.6
vs Sport Recife,30,12.0,26,2,1,149,162,20,190,107,141,4,0,1,521,171,173,49.7
vs Vasco da Gama,28,13.0,23,2,0,164,165,12,271,88,122,0,0,0,489,143,157,47.7
vs Vitória,29,14.0,21,2,0,184,216,27,310,90,143,0,0,0,571,206,166,55.4
