Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Atlético Mineiro,28,13.0,33,2,2,182,162,30,276,142,143,1,0,0,582,175,164,51.6
Bahia,27,13.0,30,2,1,163,150,16,230,98,139,2,3,0,494,150,171,46.7
Botafogo (RJ),30,13.0,28,1,0,186,142,16,242,95,136,0,0,0,504,173,155,52.7
Ceará,27,13.0,29,0,0,187,190,30,230,93,128,0,2,0,484,203,226,47.3
Corinthians,30,14.0,43,0,0,192,203,24,256,105,144,1,3,0,542,142,133,51.6
Cruzeiro,29,14.0,36,2,0,206,182,24,259,114,171,2,1,0,585,160,176,47.6
Flamengo,25,13.0,19,1,0,163,165,17,240,89,142,3,2,0,533,141,128,52.4
Fluminense,28,12.0,20,0,0,135,176,7,229,76,116,1,0,0,449,148,150,49.7
Fortaleza,32,13.0,33,4,2,167,153,31,281,105,145,1,1,1,480,168,163,50.8
Grêmio,31,13.0,40,1,1,174,164,12,207,120,165,2,4,0,489,201,161,55.5
Internacional,32,13.0,24,2,1,180,142,19,263,100,167,0,1,2,559,174,177,49.6
Juventude,32,12.0,31,0,0,169,171,26,184,104,112,0,3,1,443,151,171,46.9
Mirassol,27,12.0,34,0,0,153,164,23,195,112,126,4,2,0,501,160,158,50.3
Palmeiras,27,12.0,27,0,0,168,186,24,265,91,132,2,2,0,492,156,179,46.6
RB Bragantino,24,14.0,37,2,1,179,188,19,232,129,157,1,0,1,604,177,170,51.0
Santos,31,13.0,38,2,2,189,181,23,237,107,163,0,2,0,512,184,149,55.3
São Paulo,28,14.0,44,1,0,203,190,15,241,126,147,4,3,1,578,191,195,49.5
Sport Recife,30,12.0,30,0,0,171,140,24,255,98,124,0,4,1,516,173,171,50.3
Vasco da Gama,28,13.0,27,1,0,174,157,12,276,88,135,0,0,3,495,158,144,52.3
Vitória,29,14.0,37,2,0,224,173,24,296,113,125,0,0,0,552,166,206,44.6
