Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
vs Atlético Mineiro,33,28.0,9095,11461,79.4,161820,59961,4081,4564,89.4,3806,4472,85.1,975,1874,52.0,19,22.1,21.1,-3.1,250,743,167,59,851
vs Bahia,30,29.0,9802,12144,80.7,172794,59114,4358,4919,88.6,4248,4864,87.3,965,1752,55.1,19,24.1,22.8,-5.1,245,932,182,71,1028
vs Botafogo (RJ),38,29.0,11380,13755,82.7,199567,69417,5169,5684,90.9,4821,5478,88.0,1120,1934,57.9,20,23.4,22.6,-3.4,264,857,174,58,1058
vs Ceará,32,28.0,11485,14084,81.5,198563,68280,5325,5877,90.6,4893,5653,86.6,1020,1882,54.2,15,20.5,23.2,-5.5,246,1037,218,71,1212
vs Corinthians,34,29.0,9819,12190,80.5,166867,59365,4652,5189,89.7,3971,4593,86.5,885,1716,51.6,22,20.8,21.2,1.2,244,740,186,50,890
vs Cruzeiro,35,29.0,10743,13278,80.9,194554,68507,4717,5270,89.5,4568,5244,87.1,1188,2060,57.7,20,20.5,25.1,-0.5,284,908,226,85,1130
vs Flamengo,31,28.0,8621,10793,79.9,159382,55825,3571,4026,88.7,3881,4433,87.5,976,1804,54.1,10,14.8,12.7,-4.8,193,578,103,45,655
vs Fluminense,36,28.0,10207,12551,81.3,179886,61122,4613,5143,89.7,4372,4994,87.5,985,1808,54.5,26,20.1,20.1,5.9,215,797,157,45,952
vs Fortaleza,44,28.0,10940,13355,81.9,194291,68789,4785,5350,89.4,4807,5430,88.5,1077,1868,57.7,30,28.1,26.6,1.9,267,818,191,52,1065
vs Grêmio,39,29.0,12427,14952,83.1,221035,74277,5231,5811,90.0,5807,6568,88.4,1148,1948,58.9,22,29.7,31.9,-7.7,320,1167,254,80,1318
vs Internacional,38,29.0,11319,13875,81.6,209701,73026,4582,5152,88.9,5135,5835,88.0,1298,2103,61.7,35,25.9,25.1,9.1,276,918,201,75,1030
vs Juventude,43,29.0,12902,15333,84.1,232700,75207,5486,6013,91.2,5943,6626,89.7,1271,2147,59.2,35,31.9,30.9,3.1,319,1079,252,73,1229
vs Mirassol,33,29.0,11238,13883,80.9,203790,67841,4776,5348,89.3,5042,5759,87.5,1170,2108,55.5,23,22.3,22.7,0.7,290,945,230,72,1088
vs Palmeiras,37,28.0,9277,11632,79.8,162742,64194,4233,4773,88.7,3857,4454,86.6,913,1721,53.1,17,17.3,16.5,-0.3,198,712,150,41,855
vs RB Bragantino,31,29.0,11830,14486,81.7,218566,75557,4756,5337,89.1,5481,6180,88.7,1320,2250,58.7,30,27.3,30.4,2.7,339,1011,260,89,1233
vs Santos,40,28.0,10339,12743,81.1,183752,62870,4428,4981,88.9,4545,5168,87.9,1054,1833,57.5,31,25.8,24.0,5.2,266,864,196,62,1030
vs São Paulo,37,29.0,10546,13076,80.7,185107,66834,4784,5326,89.8,4432,5143,86.2,1059,1917,55.2,16,20.4,22.1,-4.4,268,822,186,66,924
vs Sport Recife,40,28.0,10559,12983,81.3,189483,67765,4502,5056,89.0,4723,5445,86.7,1081,1855,58.3,31,30.3,28.4,0.7,318,834,211,79,1019
vs Vasco da Gama,37,29.0,9906,12338,80.3,178873,62123,4186,4711,88.9,4417,5077,87.0,1055,1911,55.2,27,31.1,32.8,-4.1,300,890,229,70,978
vs Vitória,38,29.0,12889,15433,83.5,224136,76367,5810,6411,90.6,5540,6212,89.2,1181,2028,58.2,29,30.0,29.5,-1.0,323,1224,275,91,1345
