Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Atlético Mineiro,28,13.0,5211,6427,81.1,94141,32568,2267,2518,90.0,2228,2548,87.4,581,1032,56.3,7,10.1,11.9,-3.1,145,451,103,22,568
Bahia,27,13.0,5544,6573,84.3,92090,30770,2671,2899,92.1,2301,2575,89.4,409,769,53.2,12,13.6,14.3,-1.6,116,416,98,26,501
Botafogo (RJ),30,13.0,5343,6416,83.3,98053,33481,2255,2495,90.4,2367,2642,89.6,587,987,59.5,11,12.8,14.1,-1.8,154,459,125,45,542
Ceará,27,13.0,3412,4598,74.2,65913,27087,1300,1534,84.7,1592,1920,82.9,456,911,50.1,11,10.2,9.0,0.8,107,291,77,33,359
Corinthians,30,14.0,6717,7885,85.2,126269,39441,2495,2781,89.7,3358,3682,91.2,745,1079,69.0,9,11.3,11.3,-2.3,116,535,81,21,596
Cruzeiro,29,14.0,4155,5386,77.1,71767,27831,1969,2242,87.8,1628,1950,83.5,435,866,50.2,20,14.4,11.3,5.6,148,368,91,32,432
Flamengo,25,13.0,6892,7917,87.1,118747,36927,3160,3420,92.4,3016,3274,92.1,585,905,64.6,19,13.9,15.2,5.1,143,605,130,26,681
Fluminense,28,12.0,5822,6865,84.8,95888,31741,2898,3160,91.7,2296,2595,88.5,452,775,58.3,8,10.6,12.1,-2.6,117,426,106,35,492
Fortaleza,32,13.0,4350,5523,78.8,78063,28155,1840,2075,88.7,1954,2279,85.7,437,870,50.2,10,10.1,8.6,-0.1,121,369,83,29,448
Grêmio,31,13.0,3971,5120,77.6,74012,27493,1682,1960,85.8,1711,1990,86.0,487,910,53.5,7,8.9,8.2,-1.9,108,353,67,26,358
Internacional,32,13.0,5665,6834,82.9,99434,33380,2563,2828,90.6,2422,2765,87.6,549,912,60.2,11,13.3,13.0,-2.3,143,457,96,30,558
Juventude,32,12.0,3686,4764,77.4,68829,24841,1465,1672,87.6,1732,2028,85.4,413,810,51.0,8,6.2,4.9,1.8,85,243,54,16,335
Mirassol,27,12.0,4281,5345,80.1,74651,28699,1990,2222,89.6,1731,2033,85.1,450,797,56.5,10,10.0,9.9,0.0,118,319,74,25,427
Palmeiras,27,12.0,4077,5122,79.6,75903,25322,1697,1910,88.8,1819,2061,88.3,484,903,53.6,8,9.8,8.6,-1.8,124,349,84,32,439
RB Bragantino,24,14.0,4885,6076,80.4,88533,31612,2059,2326,88.5,2162,2515,86.0,534,915,58.4,11,10.3,11.2,0.7,138,391,87,18,517
Santos,31,13.0,4227,5313,79.6,74132,27775,1951,2200,88.7,1786,2079,85.9,399,773,51.6,6,10.0,9.1,-4.0,111,344,82,32,422
São Paulo,28,14.0,5282,6444,82.0,94423,31420,2210,2464,89.7,2451,2753,89.0,507,926,54.8,9,11.7,12.5,-2.7,127,425,94,33,480
Sport Recife,30,12.0,4387,5556,79.0,78689,28259,1892,2149,88.0,1897,2193,86.5,466,837,55.7,3,6.2,10.1,-3.2,109,391,108,26,509
Vasco da Gama,28,13.0,5862,6885,85.1,99319,32706,2744,2966,92.5,2471,2749,89.9,484,824,58.7,13,11.5,11.8,1.5,122,504,89,44,533
Vitória,29,14.0,4538,5778,78.5,84425,29181,1805,2046,88.2,2186,2525,86.6,473,960,49.3,8,8.7,8.9,-0.7,113,404,68,27,442
