Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
vs Atlético Mineiro,28,28.7,13,1170,90,100,13.0,143,81,82,61,20,95,1.08,12,14,-2,-0.15,11.5,16.1,-4.6,-0.36
vs Bahia,27,28.2,13,1170,90,100,13.0,143,78,78,64,25,89,0.92,12,16,-4,-0.31,16.3,17.5,-1.2,-0.09
vs Botafogo (RJ),30,28.4,13,1170,90,100,13.0,143,82,78,64,19,92,1.0,7,16,-9,-0.69,12.1,17.0,-4.9,-0.38
vs Ceará,27,28.1,13,1170,90,100,13.0,143,83,78,65,22,91,1.38,12,14,-2,-0.15,13.9,13.8,0.1,0.01
vs Corinthians,30,28.3,14,1260,90,100,14.0,154,82,87,64,21,101,1.36,17,15,2,0.14,16.8,15.8,1.1,0.08
vs Cruzeiro,29,28.5,14,1260,90,100,14.0,154,83,86,69,27,96,0.64,9,23,-14,-1.0,12.9,18.3,-5.3,-0.38
vs Flamengo,25,28.4,13,1170,90,100,13.0,143,80,85,58,21,98,0.69,5,26,-21,-1.62,7.8,20.2,-12.4,-0.96
vs Fluminense,28,28.8,12,1080,90,100,12.0,132,82,80,53,22,90,1.17,14,15,-1,-0.08,10.4,14.1,-3.7,-0.31
vs Fortaleza,32,28.5,13,1170,90,100,13.0,143,81,80,62,20,91,1.92,19,12,7,0.54,17.7,14.6,3.1,0.24
vs Grêmio,31,28.6,13,1170,90,100,13.0,143,79,82,62,21,94,1.46,19,13,6,0.46,19.4,13.6,5.9,0.45
vs Internacional,32,29.2,13,1170,90,100,13.0,143,78,79,63,18,89,1.54,18,13,5,0.38,13.9,16.6,-2.7,-0.2
vs Juventude,32,28.4,12,1080,90,100,12.0,132,80,73,59,20,80,1.92,24,10,14,1.17,21.1,7.7,13.4,1.12
vs Mirassol,27,28.9,12,1080,90,100,12.0,132,80,74,58,23,85,1.0,13,18,-5,-0.42,14.5,17.0,-2.5,-0.21
vs Palmeiras,27,28.6,12,1080,90,100,12.0,132,80,77,55,22,89,0.92,9,13,-4,-0.33,10.3,15.0,-4.7,-0.39
vs RB Bragantino,24,28.7,14,1260,90,100,14.0,154,79,86,68,21,98,0.86,14,18,-4,-0.29,15.8,15.2,0.7,0.05
vs Santos,31,29.1,13,1170,90,100,13.0,143,82,82,61,20,94,1.77,14,12,2,0.15,15.6,13.6,2.0,0.16
vs São Paulo,28,28.8,14,1260,90,100,14.0,154,81,85,69,17,99,1.57,18,12,6,0.43,17.0,16.5,0.5,0.03
vs Sport Recife,30,29.0,12,1080,90,100,12.0,132,79,69,61,24,83,2.5,20,5,15,1.25,16.5,9.5,7.0,0.58
vs Vasco da Gama,28,28.5,13,1170,90,100,13.0,143,82,82,60,21,95,1.92,18,14,4,0.31,18.1,13.5,4.6,0.35
vs Vitória,29,28.9,14,1260,90,100,14.0,154,79,85,67,22,100,1.71,15,10,5,0.36,16.7,13.0,3.7,0.26
