Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Atlético Mineiro,28,29.2,13,1170,90,100,13.0,143,81,83,59,21,92,1.54,14,12,2,0.15,16.1,11.5,4.6,0.36
Bahia,27,27.9,13,1170,90,100,13.0,143,78,76,65,24,91,1.85,16,12,4,0.31,17.5,16.3,1.2,0.09
Botafogo (RJ),30,27.2,13,1170,90,100,13.0,143,82,83,59,19,96,1.69,16,7,9,0.69,17.0,12.1,4.9,0.38
Ceará,27,29.8,13,1170,90,100,13.0,143,83,78,66,16,88,1.38,14,12,2,0.15,13.8,13.9,-0.1,-0.01
Corinthians,30,27.8,14,1260,90,100,14.0,154,82,93,62,20,106,1.36,15,17,-2,-0.14,15.8,16.8,-1.1,-0.08
Cruzeiro,29,29.6,14,1260,90,100,14.0,154,83,92,60,17,108,2.14,23,9,14,1.0,18.3,12.9,5.3,0.38
Flamengo,25,29.4,13,1170,90,100,13.0,143,80,78,65,22,91,2.08,26,5,21,1.62,20.2,7.8,12.4,0.96
Fluminense,28,31.1,12,1080,90,100,12.0,132,82,74,58,19,86,1.67,15,14,1,0.08,14.1,10.4,3.7,0.31
Fortaleza,32,31.0,13,1170,90,100,13.0,143,81,80,62,21,93,0.77,12,19,-7,-0.54,14.6,17.7,-3.1,-0.24
Grêmio,31,28.3,13,1170,90,100,13.0,143,79,80,63,25,91,1.23,13,19,-6,-0.46,13.6,19.4,-5.9,-0.45
Internacional,32,27.5,13,1170,90,100,13.0,143,78,79,63,27,93,1.08,13,18,-5,-0.38,16.6,13.9,2.7,0.2
Juventude,32,28.9,12,1080,90,100,12.0,132,80,71,61,22,83,0.92,10,24,-14,-1.17,7.7,21.1,-13.4,-1.12
Mirassol,27,30.2,12,1080,90,100,12.0,132,80,72,60,22,79,1.5,18,13,5,0.42,17.0,14.5,2.5,0.21
Palmeiras,27,26.6,12,1080,90,100,12.0,132,80,74,58,24,86,1.92,13,9,4,0.33,15.0,10.3,4.7,0.39
RB Bragantino,24,26.6,14,1260,90,100,14.0,154,79,82,70,22,97,1.93,18,14,4,0.29,15.2,15.8,-0.7,-0.05
Santos,31,28.5,13,1170,90,100,13.0,143,82,79,64,18,89,1.08,12,14,-2,-0.15,13.6,15.6,-2.0,-0.16
São Paulo,28,29.1,14,1260,90,100,14.0,154,81,92,63,22,103,0.93,12,18,-6,-0.43,16.5,17.0,-0.5,-0.03
Sport Recife,30,28.2,12,1080,90,100,12.0,132,79,73,59,24,82,0.25,5,20,-15,-1.25,9.5,16.5,-7.0,-0.58
Vasco da Gama,28,28.0,13,1170,90,100,13.0,143,82,78,64,18,92,1.0,14,18,-4,-0.31,13.5,18.1,-4.6,-0.35
Vitória,29,27.8,14,1260,90,100,14.0,154,79,91,62,26,103,0.86,10,15,-5,-0.36,13.0,16.7,-3.7,-0.26
