Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Atlético Mineiro,33,45.7,28.0,14630,1674,4602,6774,3408,427,14627,382,154,40.3,191,50.0,7828,41381,21472,356,295,73,438,258,9002,843
vs Bahia,30,45.3,29.0,15291,1510,4421,7251,3769,500,15285,509,247,48.5,218,42.8,8361,44052,22449,463,352,89,407,260,9733,1022
vs Botafogo (RJ),38,48.6,29.0,16906,1725,5450,7814,3813,477,16905,478,219,45.8,222,46.4,9842,49084,25192,473,373,95,416,242,11269,1048
vs Ceará,32,57.1,28.0,17144,1551,4717,8377,4213,525,17141,441,189,42.9,195,44.2,9831,52042,27683,458,373,81,430,258,11380,1203
vs Corinthians,34,45.0,29.0,15429,1493,4811,7270,3538,506,15421,522,228,43.7,249,47.7,8499,43355,21653,420,344,99,386,227,9753,881
vs Cruzeiro,35,52.7,29.0,16735,1800,5362,7425,4109,589,16734,517,228,44.1,244,47.2,9138,46631,23675,479,315,111,466,240,10646,1120
vs Flamengo,31,39.3,28.0,13862,1911,5666,5817,2517,319,13858,424,193,45.5,197,46.5,7409,37051,17601,334,242,63,368,258,8550,650
vs Fluminense,36,46.1,28.0,15615,1705,5004,7480,3287,447,15614,440,192,43.6,207,47.0,8743,45698,22819,376,278,101,386,225,10122,944
vs Fortaleza,44,52.1,28.0,16572,1809,5417,7764,3528,546,16566,600,250,41.7,285,47.5,9327,46438,24280,469,320,92,409,235,10849,1059
vs Grêmio,39,56.0,29.0,18296,1470,4977,8775,4717,693,18287,543,216,39.8,284,52.3,10921,56508,29681,539,386,138,444,244,12330,1310
vs Internacional,38,49.7,29.0,17302,1705,5764,8143,3562,508,17300,550,252,45.8,258,46.9,9603,45315,21960,382,264,101,467,283,11234,1026
vs Juventude,43,57.3,29.0,18391,1633,5435,8797,4315,646,18385,463,224,48.4,194,41.9,10983,51351,25618,472,344,114,396,251,12826,1221
vs Mirassol,33,51.4,29.0,17249,1745,5410,7435,4576,606,17245,480,222,46.3,198,41.3,9662,47534,24152,490,377,126,425,266,11162,1082
vs Palmeiras,37,47.3,28.0,15037,1809,5371,6817,3030,415,15032,539,242,44.9,251,46.6,8007,41645,21281,400,273,94,504,251,9177,844
vs RB Bragantino,31,53.0,29.0,17696,1774,5752,7636,4505,650,17695,515,247,48.0,214,41.6,10115,48683,23180,457,343,110,393,233,11755,1225
vs Santos,40,50.4,28.0,15865,1631,4983,7272,3763,528,15860,506,203,40.1,252,49.8,9004,43749,22140,430,318,107,402,260,10269,1025
vs São Paulo,37,48.1,29.0,16374,1605,5135,7621,3790,525,16367,511,222,43.4,235,46.0,8922,47332,23445,403,350,80,476,251,10451,915
vs Sport Recife,40,51.6,28.0,16338,1678,5154,7745,3602,615,16331,505,236,46.7,212,42.0,9234,46101,24244,448,301,122,441,225,10470,1016
vs Vasco da Gama,37,45.0,29.0,15335,1612,4615,6876,3986,560,15333,433,178,41.1,217,50.1,8548,40138,20116,352,319,90,378,204,9816,970
vs Vitória,38,57.9,29.0,18619,1530,4889,9168,4717,643,18615,426,174,40.8,213,50.0,10784,51526,26852,461,375,81,418,228,12806,1334
