Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Atlético Mineiro,28,43.8,13.0,6490,814,2187,2923,1437,189,6490,188,71,37.8,96,51.1,3071,17144,8859,148,113,30,212,124,3723,392
vs Bahia,27,47.1,13.0,7154,709,1925,3541,1759,218,7150,215,117,54.4,84,39.1,4021,21972,11565,240,168,43,154,131,4727,525
vs Botafogo (RJ),30,49.4,13.0,7691,839,2630,3468,1665,219,7691,219,97,44.3,106,48.4,4449,22501,11376,231,168,53,192,99,5193,452
vs Ceará,27,58.8,13.0,8029,694,2157,3988,1963,224,8027,197,79,40.1,90,45.7,4597,23549,12616,210,147,32,206,120,5364,542
vs Corinthians,30,41.0,14.0,6967,677,2190,3264,1602,225,6964,232,96,41.4,116,50.0,3764,19615,10036,198,154,47,147,101,4377,390
vs Cruzeiro,29,55.5,14.0,8441,840,2490,3946,2079,311,8440,293,116,39.6,153,52.2,4797,24272,11981,252,149,60,230,110,5464,571
vs Flamengo,25,38.6,13.0,6329,923,2678,2629,1090,140,6327,164,84,51.2,73,44.5,3450,16679,7905,146,108,26,197,127,3983,321
vs Fluminense,28,43.0,12.0,6520,766,2154,3094,1341,185,6520,190,86,45.3,84,44.2,3624,19346,9953,172,125,51,162,97,4124,389
vs Fortaleza,32,52.8,13.0,7760,811,2456,3678,1694,253,7759,284,111,39.1,142,50.0,4543,22299,11725,230,154,52,174,104,5103,493
vs Grêmio,31,55.8,13.0,8105,697,2430,3807,1932,296,8101,247,83,33.6,139,56.3,4544,23852,12263,217,138,64,204,110,5336,530
vs Internacional,32,45.3,13.0,7227,808,2585,3392,1329,186,7226,253,117,46.2,118,46.6,3941,18715,9083,139,107,37,206,140,4480,393
vs Juventude,32,54.9,12.0,7265,656,2099,3529,1704,306,7262,189,104,55.0,68,36.0,4146,19159,9224,185,140,55,169,116,4837,499
vs Mirassol,27,52.7,12.0,7278,655,2155,3242,1954,244,7276,198,103,52.0,71,35.9,4126,20657,10809,210,155,50,145,116,4767,485
vs Palmeiras,27,50.3,12.0,6718,755,2340,3007,1433,198,6716,235,93,39.6,116,49.4,3542,16982,8892,170,106,47,199,93,4158,407
vs RB Bragantino,24,54.1,14.0,8792,905,2849,3815,2210,312,8792,264,126,47.7,111,42.0,5142,24664,11459,211,169,57,186,119,5900,610
vs Santos,31,54.0,13.0,7845,726,2202,3711,2003,235,7843,273,115,42.1,124,45.4,4540,22257,11592,221,153,49,183,121,5241,567
vs São Paulo,28,50.1,14.0,8174,783,2520,3811,1932,290,8171,260,114,43.8,119,45.8,4245,22146,11183,194,165,43,234,123,5243,467
vs Sport Recife,30,50.4,12.0,7165,771,2352,3483,1408,223,7161,222,102,45.9,96,43.2,4062,19456,9602,177,111,51,213,92,4545,419
vs Vasco da Gama,28,46.2,13.0,7157,710,2029,3267,1928,269,7157,231,101,43.7,107,46.3,4075,19623,9877,177,151,47,177,106,4710,462
vs Vitória,29,55.6,14.0,9071,759,2401,4510,2236,294,9071,226,94,41.6,102,45.1,5097,23395,12464,204,152,38,211,103,6201,641
