Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Atlético Mineiro,28,56.2,13.0,7931,794,2364,3728,1922,261,7929,221,103,46.6,98,44.3,4507,24546,12215,233,161,58,215,104,5155,564
Bahia,27,52.9,13.0,7987,860,2572,3406,2084,290,7985,231,106,45.9,98,42.4,4732,24258,13493,265,197,68,194,122,5492,495
Botafogo (RJ),30,50.6,13.0,7766,831,2448,3561,1827,307,7765,173,79,45.7,75,43.4,4533,21488,11461,211,157,54,182,95,5297,540
Ceará,27,41.2,13.0,6078,757,2128,2800,1223,205,6077,185,73,39.5,86,46.5,2830,14770,7335,137,107,31,197,113,3381,355
Corinthians,30,59.0,14.0,9201,754,2692,4725,1856,205,9199,203,85,41.9,105,51.7,5529,25714,12743,199,157,44,185,119,6667,592
Cruzeiro,29,44.5,14.0,7171,786,2299,3250,1697,249,7169,265,106,40.0,137,51.7,3680,18201,9596,178,120,47,207,104,4114,427
Flamengo,25,61.4,13.0,9190,659,2309,4444,2503,318,9187,237,115,48.5,106,44.7,5570,26787,13591,219,194,55,200,125,6815,676
Fluminense,28,57.0,12.0,8139,672,2330,3889,1990,254,8138,211,93,44.1,92,43.6,4922,21996,10713,205,145,52,166,138,5786,488
Fortaleza,32,47.2,13.0,6936,679,2030,3369,1607,231,6933,186,79,42.5,83,44.6,3742,19568,10120,188,114,47,178,104,4309,443
Grêmio,31,44.2,13.0,6659,794,2226,3022,1485,206,6657,251,118,47.0,114,45.4,3383,18643,9559,170,135,38,182,131,3933,355
Internacional,32,54.7,13.0,8317,599,2062,4313,2024,255,8316,226,121,53.5,88,38.9,4749,22565,10985,216,163,51,193,146,5627,555
Juventude,32,45.1,12.0,6062,789,2335,2670,1121,161,6062,186,79,42.5,90,48.4,3238,16070,8144,127,99,33,149,111,3655,333
Mirassol,27,47.3,12.0,6801,790,2368,3070,1427,208,6796,222,89,40.1,107,48.2,3724,16800,8760,158,98,29,186,103,4246,423
Palmeiras,27,49.7,12.0,6587,599,1954,3019,1691,256,6584,268,95,35.4,148,55.2,3461,19261,9876,204,138,56,198,90,4046,435
RB Bragantino,24,45.9,14.0,7793,919,2705,3370,1807,279,7792,301,138,45.8,131,43.5,4309,23038,12155,226,157,59,214,110,4841,510
Santos,31,46.0,13.0,6809,769,2344,3071,1461,229,6808,247,115,46.6,111,44.9,3650,18417,9247,184,129,48,168,104,4194,416
São Paulo,28,49.9,14.0,8131,894,2651,3837,1708,221,8127,262,104,39.7,135,51.5,4589,21675,10411,189,144,36,216,112,5246,478
Sport Recife,30,49.6,12.0,6942,631,1928,3249,1826,260,6942,207,93,44.9,96,46.4,3608,19658,9671,198,138,46,198,128,4356,504
Vasco da Gama,28,53.8,13.0,8291,843,2556,3993,1822,228,8291,244,107,43.9,103,42.2,4889,22068,11045,199,136,48,147,84,5825,528
Vitória,29,44.4,14.0,7387,879,2528,3319,1618,194,7387,254,111,43.7,112,44.1,4131,22760,11344,226,144,32,226,109,4491,438
