Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Atlético Mineiro,33,28.0,31,336,106,31.5,12.0,3.79,0.08,0.26,19.6,10,3,3,30.1,27.8,0.08,0.9,0.2
vs Bahia,30,29.0,30,358,108,30.2,12.34,3.72,0.08,0.25,19.1,18,3,5,36.9,32.8,0.09,-6.9,-5.8
vs Botafogo (RJ),38,29.0,26,353,101,28.6,12.17,3.48,0.07,0.25,20.1,23,1,1,29.4,28.7,0.08,-3.4,-3.7
vs Ceará,32,28.0,27,342,104,30.4,12.21,3.71,0.07,0.23,18.6,15,3,3,31.2,28.9,0.09,-4.2,-4.9
vs Corinthians,34,29.0,35,348,94,27.0,12.0,3.24,0.08,0.29,19.5,14,8,8,35.4,29.2,0.09,-0.4,-2.2
vs Cruzeiro,35,29.0,21,379,108,28.5,13.07,3.72,0.06,0.19,18.4,9,0,1,26.6,25.8,0.07,-5.6,-4.8
vs Flamengo,31,28.0,15,267,87,32.6,9.54,3.11,0.05,0.16,19.6,11,1,4,22.6,19.7,0.08,-7.6,-5.7
vs Fluminense,36,28.0,34,288,98,34.0,10.29,3.5,0.12,0.35,18.7,13,0,1,26.7,26.1,0.09,7.3,7.9
vs Fortaleza,44,28.0,43,355,136,38.3,12.68,4.86,0.11,0.29,17.9,12,4,6,40.3,35.5,0.1,2.7,3.5
vs Grêmio,39,29.0,37,436,125,28.7,15.03,4.31,0.07,0.24,18.6,14,7,9,47.5,40.4,0.1,-10.5,-10.4
vs Internacional,38,29.0,40,363,113,31.1,12.52,3.9,0.11,0.35,18.2,13,1,2,32.7,31.4,0.09,7.3,7.6
vs Juventude,43,29.0,52,435,147,33.8,15.0,5.07,0.11,0.32,18.3,21,5,6,45.0,40.1,0.1,7.0,6.9
vs Mirassol,33,29.0,30,388,127,32.7,13.38,4.38,0.07,0.22,18.9,16,2,4,34.2,31.0,0.08,-4.2,-3.0
vs Palmeiras,37,28.0,25,267,82,30.7,9.54,2.93,0.08,0.26,20.1,16,4,5,24.8,21.2,0.08,0.2,-0.2
vs RB Bragantino,31,29.0,43,448,144,32.1,15.45,4.97,0.09,0.29,18.5,19,1,1,37.1,36.4,0.08,5.9,5.6
vs Santos,40,28.0,39,348,118,33.9,12.43,4.21,0.1,0.29,18.2,10,5,5,36.1,32.2,0.1,2.9,1.8
vs São Paulo,37,29.0,32,365,114,31.2,12.59,3.93,0.07,0.22,20.1,15,7,7,33.8,28.3,0.08,-1.8,-3.3
vs Sport Recife,40,28.0,43,411,142,34.5,14.68,5.07,0.09,0.26,18.3,8,6,7,42.9,37.4,0.09,0.1,-0.4
vs Vasco da Gama,37,29.0,38,387,117,30.2,13.34,4.03,0.09,0.31,18.6,17,2,2,40.4,38.9,0.1,-2.4,-2.9
vs Vitória,38,29.0,43,431,144,33.4,14.86,4.97,0.09,0.27,18.0,25,4,4,41.5,38.5,0.09,1.5,0.5
