Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Atlético Mineiro,28,13.0,12,217,63,29.0,16.69,4.85,0.05,0.17,20.1,16,1,1,16.1,15.3,0.07,-4.1,-4.3
Bahia,27,13.0,15,154,44,28.6,11.85,3.38,0.08,0.3,18.0,9,2,2,17.5,16.0,0.11,-2.5,-3.0
Botafogo (RJ),30,13.0,16,193,66,34.2,14.85,5.08,0.08,0.23,18.1,7,1,1,17.0,16.2,0.09,-1.0,-1.2
Ceará,27,13.0,14,151,47,31.1,11.62,3.62,0.09,0.28,20.0,9,1,1,13.8,13.0,0.09,0.2,0.0
Corinthians,30,14.0,14,147,43,29.3,10.5,3.07,0.09,0.3,18.1,6,1,2,15.8,14.6,0.1,-1.8,-1.6
Cruzeiro,29,14.0,22,193,65,33.7,13.79,4.64,0.11,0.34,18.8,10,0,2,18.3,16.7,0.09,3.7,5.3
Flamengo,25,13.0,26,180,76,42.2,13.85,5.85,0.13,0.32,18.1,2,2,3,20.2,17.7,0.1,5.8,6.3
Fluminense,28,12.0,14,164,49,29.9,13.67,4.08,0.08,0.27,19.0,5,1,1,14.1,13.3,0.08,-0.1,-0.3
Fortaleza,32,13.0,12,165,44,26.7,12.69,3.38,0.06,0.23,20.1,9,2,3,14.6,12.3,0.08,-2.6,-2.3
Grêmio,31,13.0,12,148,52,35.1,11.38,4.0,0.07,0.19,19.2,4,2,2,13.6,12.0,0.09,-1.6,-2.0
Internacional,32,13.0,13,189,58,30.7,14.54,4.46,0.06,0.21,19.3,7,1,1,16.6,15.8,0.08,-3.6,-3.8
Juventude,32,12.0,10,119,35,29.4,9.92,2.92,0.08,0.29,21.0,8,0,0,7.7,7.7,0.07,2.3,2.3
Mirassol,27,12.0,17,147,44,29.9,12.25,3.67,0.09,0.3,20.0,4,4,5,17.0,13.1,0.09,0.0,-0.1
Palmeiras,27,12.0,13,164,39,23.8,13.67,3.25,0.07,0.28,20.6,7,2,3,15.0,12.6,0.08,-2.0,-1.6
RB Bragantino,24,14.0,18,182,59,32.4,13.0,4.21,0.09,0.29,18.9,8,1,1,15.2,14.4,0.08,2.8,2.6
Santos,31,13.0,11,155,34,21.9,11.92,2.62,0.06,0.29,18.1,7,1,1,13.6,12.8,0.08,-2.6,-2.8
São Paulo,28,14.0,12,161,43,26.7,11.5,3.07,0.06,0.23,19.2,6,2,4,16.5,13.4,0.08,-4.5,-3.4
Sport Recife,30,12.0,4,158,47,29.7,13.17,3.92,0.03,0.09,20.1,12,0,0,9.5,9.5,0.06,-5.5,-5.5
Vasco da Gama,28,13.0,14,159,59,37.1,12.23,4.54,0.09,0.24,18.5,6,0,0,13.5,13.5,0.09,0.5,0.5
Vitória,29,14.0,10,164,57,34.8,11.71,4.07,0.06,0.18,19.8,3,0,0,13.0,13.0,0.08,-3.0,-3.0
