Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Atlético Mineiro,28,28.7,43.8,13,143,1170,13.0,12,5,17,12,0,0,33,2,11.5,11.5,8.2,19.7,148,394,0.92,0.38,1.31,0.92,1.31,0.88,0.63,1.51,0.88,1.51
vs Bahia,27,28.2,47.1,13,143,1170,13.0,12,7,19,10,2,3,40,3,16.3,14.0,10.2,24.1,240,528,0.92,0.54,1.46,0.77,1.31,1.26,0.78,2.04,1.07,1.86
vs Botafogo (RJ),30,28.4,49.4,13,143,1170,13.0,7,6,13,7,0,0,38,1,12.1,12.1,10.5,22.6,231,458,0.54,0.46,1.0,0.54,1.0,0.93,0.81,1.74,0.93,1.74
vs Ceará,27,28.1,58.8,13,143,1170,13.0,12,5,17,10,2,2,33,1,13.9,12.3,8.7,21.0,210,544,0.92,0.38,1.31,0.77,1.15,1.07,0.67,1.74,0.95,1.62
vs Corinthians,30,28.3,41.0,14,154,1260,14.0,17,10,27,14,3,3,46,3,16.8,14.5,9.7,24.2,198,393,1.21,0.71,1.93,1.0,1.71,1.2,0.69,1.9,1.04,1.73
vs Cruzeiro,29,28.5,55.5,14,154,1260,14.0,9,9,18,9,0,1,33,1,12.9,12.2,9.8,22.0,252,578,0.64,0.64,1.29,0.64,1.29,0.92,0.7,1.62,0.87,1.57
vs Flamengo,25,28.4,38.6,13,143,1170,13.0,5,4,9,5,0,2,28,0,7.8,6.2,4.7,10.9,146,321,0.38,0.31,0.69,0.38,0.69,0.6,0.36,0.96,0.48,0.84
vs Fluminense,28,28.8,43.0,12,132,1080,12.0,14,10,24,14,0,0,29,0,10.4,10.4,7.6,18.0,172,396,1.17,0.83,2.0,1.17,2.0,0.86,0.63,1.5,0.86,1.5
vs Fortaleza,32,28.5,52.8,13,143,1170,13.0,18,16,34,18,0,1,23,1,17.7,16.9,13.9,30.9,230,498,1.38,1.23,2.62,1.38,2.62,1.36,1.07,2.44,1.3,2.38
vs Grêmio,31,28.6,55.8,13,143,1170,13.0,19,12,31,15,4,4,35,0,19.4,16.3,12.1,28.4,217,535,1.46,0.92,2.38,1.15,2.08,1.49,0.93,2.43,1.25,2.19
vs Internacional,32,29.2,45.3,13,143,1170,13.0,16,14,30,15,1,1,32,3,13.9,13.5,11.1,24.7,139,394,1.23,1.08,2.31,1.15,2.23,1.07,0.86,1.93,1.04,1.9
vs Juventude,32,28.4,54.9,12,132,1080,12.0,23,18,41,21,2,3,31,1,21.1,18.5,15.1,33.7,185,502,1.92,1.5,3.42,1.75,3.25,1.76,1.26,3.02,1.55,2.81
vs Mirassol,27,28.9,52.7,12,132,1080,12.0,13,12,25,12,1,2,32,0,14.5,13.0,10.2,23.2,210,490,1.08,1.0,2.08,1.0,2.0,1.21,0.85,2.06,1.09,1.94
vs Palmeiras,27,28.6,50.3,12,132,1080,12.0,9,8,17,8,1,2,31,0,10.3,8.7,7.4,16.1,170,412,0.75,0.67,1.42,0.67,1.33,0.86,0.62,1.47,0.73,1.34
vs RB Bragantino,24,28.7,54.1,14,154,1260,14.0,13,9,22,13,0,0,33,0,15.8,15.8,12.4,28.3,211,616,0.93,0.64,1.57,0.93,1.57,1.13,0.89,2.02,1.13,2.02
vs Santos,31,29.1,54.0,13,143,1170,13.0,14,11,25,12,2,2,42,0,15.6,14.1,11.3,25.4,221,570,1.08,0.85,1.92,0.92,1.77,1.2,0.87,2.07,1.09,1.95
vs São Paulo,28,28.8,50.1,14,154,1260,14.0,17,10,27,14,3,3,31,1,17.0,14.6,11.2,25.8,194,473,1.21,0.71,1.93,1.0,1.71,1.21,0.8,2.01,1.05,1.84
vs Sport Recife,30,29.0,50.4,12,132,1080,12.0,19,12,31,16,3,4,26,2,16.5,13.3,10.8,24.1,177,421,1.58,1.0,2.58,1.33,2.33,1.37,0.9,2.27,1.11,2.01
vs Vasco da Gama,28,28.5,46.2,13,143,1170,13.0,15,13,28,15,0,0,23,2,18.1,18.1,15.9,34.0,177,466,1.15,1.0,2.15,1.15,2.15,1.39,1.22,2.61,1.39,2.61
vs Vitória,29,28.9,55.6,14,154,1260,14.0,15,10,25,15,0,0,21,2,16.7,16.7,12.6,29.3,204,650,1.07,0.71,1.79,1.07,1.79,1.19,0.9,2.09,1.19,2.09
