Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Atlético Mineiro,33,29.4,54.3,28,308,2520,28.0,24,16,40,23,1,1,75,5,30.0,29.2,20.4,49.7,461,1163,0.86,0.57,1.43,0.82,1.39,1.07,0.73,1.8,1.04,1.77
Bahia,30,28.2,54.7,29,319,2610,29.0,38,27,65,35,3,4,64,4,37.1,33.9,26.9,60.8,578,1129,1.31,0.93,2.24,1.21,2.14,1.28,0.93,2.21,1.17,2.1
Botafogo (RJ),38,27.5,51.4,29,319,2610,29.0,39,30,69,37,2,2,69,3,37.0,35.5,29.4,64.9,481,1185,1.34,1.03,2.38,1.28,2.31,1.28,1.01,2.29,1.22,2.24
Ceará,32,29.6,42.9,28,308,2520,28.0,27,20,47,26,1,2,59,1,29.1,27.4,18.7,46.0,317,783,0.96,0.71,1.68,0.93,1.64,1.04,0.67,1.7,0.98,1.64
Corinthians,34,27.5,55.0,29,319,2610,29.0,29,20,49,27,2,4,86,1,33.7,31.3,25.2,56.5,397,1103,1.0,0.69,1.69,0.93,1.62,1.16,0.87,2.03,1.08,1.95
Cruzeiro,35,29.4,47.3,29,319,2610,29.0,41,34,75,40,1,3,76,4,38.1,35.7,29.6,65.3,454,992,1.41,1.17,2.59,1.38,2.55,1.31,1.02,2.33,1.23,2.25
Flamengo,31,29.6,60.7,28,308,2520,28.0,56,46,102,52,4,5,60,3,41.2,37.2,28.8,66.1,476,1422,2.0,1.64,3.64,1.86,3.5,1.47,1.03,2.5,1.33,2.36
Fluminense,36,31.3,53.9,28,308,2520,28.0,34,19,53,31,3,4,54,2,28.4,25.4,19.6,45.0,451,993,1.21,0.68,1.89,1.11,1.79,1.01,0.7,1.71,0.91,1.61
Fortaleza,44,30.4,47.9,28,308,2520,28.0,26,20,46,24,2,4,84,8,34.0,30.8,23.9,54.6,429,1049,0.93,0.71,1.64,0.86,1.57,1.21,0.85,2.07,1.1,1.95
Grêmio,39,28.7,44.0,29,319,2610,29.0,29,16,45,22,7,7,74,5,32.8,27.3,20.1,47.5,390,786,1.0,0.55,1.55,0.76,1.31,1.13,0.69,1.83,0.94,1.64
Internacional,38,27.9,50.3,29,319,2610,29.0,35,20,55,27,8,9,62,5,42.6,35.5,28.1,63.7,420,1104,1.21,0.69,1.9,0.93,1.62,1.47,0.97,2.44,1.23,2.2
Juventude,43,29.1,42.7,29,319,2610,29.0,23,18,41,21,2,3,81,3,21.8,19.4,15.9,35.3,337,819,0.79,0.62,1.41,0.72,1.34,0.75,0.55,1.3,0.67,1.22
Mirassol,33,30.3,48.6,29,319,2610,29.0,48,32,80,42,6,7,65,1,44.8,39.3,31.3,70.5,417,1052,1.66,1.1,2.76,1.45,2.55,1.54,1.08,2.62,1.35,2.43
Palmeiras,37,27.2,52.7,28,308,2520,28.0,52,35,87,46,6,7,55,2,43.0,37.5,28.7,66.2,441,1124,1.86,1.25,3.11,1.64,2.89,1.54,1.03,2.56,1.34,2.36
RB Bragantino,31,26.5,47.0,29,319,2610,29.0,34,22,56,30,4,4,81,3,33.4,30.4,22.0,52.4,420,1053,1.17,0.76,1.93,1.03,1.79,1.15,0.76,1.91,1.05,1.81
Santos,40,28.6,49.6,28,308,2520,28.0,27,15,42,23,4,4,78,4,33.7,30.6,23.0,53.6,413,1019,0.96,0.54,1.5,0.82,1.36,1.2,0.82,2.03,1.09,1.91
São Paulo,37,29.1,51.9,29,319,2610,29.0,31,25,56,29,2,5,79,2,36.5,32.7,26.6,59.3,437,1067,1.07,0.86,1.93,1.0,1.86,1.26,0.92,2.18,1.13,2.05
Sport Recife,40,28.7,48.4,28,308,2520,28.0,19,10,29,17,2,2,71,0,30.5,29.0,21.3,50.3,457,1086,0.68,0.36,1.04,0.61,0.96,1.09,0.76,1.85,1.03,1.8
Vasco da Gama,37,28.0,55.0,29,319,2610,29.0,45,33,78,40,5,5,60,4,35.3,31.4,24.8,56.2,467,1088,1.55,1.14,2.69,1.38,2.52,1.22,0.85,2.07,1.08,1.94
Vitória,38,28.3,42.1,29,319,2610,29.0,27,19,46,25,2,2,87,7,32.3,30.7,22.1,52.8,419,873,0.93,0.66,1.59,0.86,1.52,1.11,0.76,1.88,1.06,1.82
