Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs Augsburg,1,7.0,12,1,0,3,0,11.0,0.35,-1.0,-0.14,48,133,36.1,289,34,40.5,38.8,40,40.0,32.8,104,7,6.7,9,1.29,14.2
vs Bayern Munich,1,7.0,27,4,0,4,0,21.5,0.3,-5.5,-0.78,33,107,30.8,244,23,38.9,35.9,52,23.1,23.7,66,4,6.1,14,2.0,14.2
vs Dortmund,1,7.0,13,0,0,1,0,14.7,0.44,1.7,0.24,30,104,28.8,231,26,34.6,35.4,56,42.9,36.9,107,3,2.8,8,1.15,13.5
vs Eint Frankfurt,2,7.0,19,1,0,3,0,13.8,0.39,-5.2,-0.74,39,108,36.1,184,24,42.4,38.7,66,45.5,37.4,96,6,6.3,18,2.57,19.3
vs Freiburg,1,7.0,11,3,1,2,1,10.6,0.32,0.6,0.08,21,84,25.0,203,25,27.1,32.7,63,46.0,38.3,118,8,6.8,3,0.43,9.5
vs Gladbach,1,7.0,6,0,0,3,0,9.2,0.27,3.2,0.45,39,112,34.8,269,29,34.2,33.5,51,39.2,33.9,123,9,7.3,7,1.0,12.2
vs Hamburger SV,1,7.0,7,0,0,0,0,7.6,0.24,0.6,0.09,18,70,25.7,173,27,32.4,33.8,49,28.6,29.0,86,6,7.0,12,1.71,16.2
vs Heidenheim,1,7.0,6,0,1,1,0,8.0,0.28,2.0,0.28,20,69,29.0,172,26,27.9,31.2,49,42.9,37.2,90,4,4.4,12,1.71,17.3
vs Hoffenheim,1,7.0,12,2,1,0,0,13.8,0.36,1.8,0.26,51,117,43.6,230,27,40.4,37.1,51,47.1,38.4,108,7,6.5,9,1.29,15.0
vs Köln,1,7.0,12,0,0,1,0,10.3,0.37,-1.7,-0.24,25,90,27.8,199,26,34.2,33.7,52,42.3,40.3,97,6,6.2,12,1.71,13.8
vs Leverkusen,1,7.0,16,3,2,0,0,12.8,0.31,-3.2,-0.45,27,73,37.0,194,23,30.4,32.4,46,30.4,29.0,68,3,4.4,12,1.71,15.4
vs Mainz 05,2,7.0,8,2,0,0,0,7.7,0.29,-0.3,-0.04,44,142,31.0,235,29,44.7,38.3,61,60.7,45.3,127,6,4.7,4,0.57,14.5
vs RB Leipzig,1,7.0,10,0,1,1,0,9.2,0.34,-0.8,-0.11,29,86,33.7,255,34,26.3,31.8,59,32.2,33.7,81,5,6.2,14,2.0,16.2
vs St. Pauli,1,7.0,8,1,1,2,0,7.7,0.19,-0.3,-0.04,35,91,38.5,258,34,26.0,30.0,49,49.0,40.6,114,9,7.9,13,1.86,14.3
vs Stuttgart,1,7.0,11,1,0,2,0,12.5,0.28,1.5,0.22,61,153,39.9,270,28,43.0,38.1,63,58.7,42.3,108,11,10.2,6,0.86,9.7
vs Union Berlin,1,8.0,11,0,0,2,0,8.9,0.32,-2.1,-0.27,14,58,24.1,224,36,21.0,28.5,62,17.7,24.7,122,4,3.3,15,1.88,20.3
vs Werder Bremen,2,8.0,12,2,0,1,0,11.5,0.25,-0.5,-0.07,41,97,42.3,252,36,28.6,31.8,60,41.7,38.5,73,1,1.4,21,2.63,18.9
vs Wolfsburg,1,7.0,8,1,1,0,0,7.5,0.27,-0.5,-0.07,47,114,41.2,239,27,33.1,34.5,67,52.2,43.3,93,7,7.5,10,1.43,14.6
