Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Augsburg,22,7.0,122,79,56,51,15,62,102,60.8,40,71,16,55,75,197,211,7
vs Bayern Munich,20,7.0,130,78,78,37,15,76,130,58.5,54,101,33,68,72,202,172,10
vs Dortmund,22,7.0,120,68,63,47,10,60,117,51.3,57,75,20,55,81,201,187,6
vs Eint Frankfurt,22,7.0,114,60,63,40,11,57,98,58.2,41,93,25,68,49,163,220,4
vs Freiburg,23,7.0,105,56,44,47,14,53,101,52.5,48,67,21,46,58,163,290,4
vs Gladbach,23,7.0,111,58,47,49,15,53,79,67.1,26,72,22,50,51,162,196,3
vs Hamburger SV,25,7.0,97,51,45,34,18,44,101,43.6,57,69,22,47,69,166,188,5
vs Heidenheim,24,7.0,80,57,41,30,9,39,77,50.6,38,77,22,55,57,137,209,6
vs Hoffenheim,21,7.0,100,64,54,37,9,42,80,52.5,38,77,24,53,66,166,207,4
vs Köln,22,7.0,88,58,43,31,14,36,68,52.9,32,71,26,45,39,127,188,2
vs Leverkusen,24,7.0,107,66,41,46,20,54,114,47.4,60,71,21,50,61,168,166,10
vs Mainz 05,23,7.0,98,65,52,33,13,37,84,44.0,47,96,34,62,71,169,328,5
vs RB Leipzig,22,7.0,105,59,60,29,16,62,141,44.0,79,87,31,56,60,165,165,4
vs St. Pauli,18,7.0,105,62,46,49,10,46,82,56.1,36,87,26,61,75,180,250,3
vs Stuttgart,22,7.0,94,62,48,37,9,38,77,49.4,39,87,31,56,66,160,196,1
vs Union Berlin,19,8.0,119,70,62,49,8,49,86,57.0,37,90,23,67,44,163,284,6
vs Werder Bremen,23,8.0,130,75,49,59,22,64,113,56.6,49,92,24,68,88,218,164,5
vs Wolfsburg,22,7.0,88,45,41,33,14,43,69,62.3,26,91,26,65,59,147,137,5
