Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Augsburg,22,7.0,105,66,49,40,16,58,104,55.8,46,84,22,62,73,178,238,7
Bayern Munich,20,7.0,86,50,34,39,13,39,97,40.2,58,76,23,53,65,151,122,8
Dortmund,22,7.0,79,48,44,22,13,37,75,49.3,38,69,16,53,54,133,199,4
Eint Frankfurt,22,7.0,121,74,46,53,22,64,104,61.5,40,76,16,60,62,183,181,8
Freiburg,23,7.0,96,54,50,40,6,49,69,71.0,20,74,25,49,70,166,174,7
Gladbach,23,7.0,135,70,59,62,14,58,103,56.3,45,72,22,50,58,193,195,2
Hamburger SV,25,7.0,98,53,51,36,11,48,96,50.0,48,76,29,47,50,148,243,4
Heidenheim,24,7.0,95,54,57,29,9,50,117,42.7,67,82,21,61,65,160,189,7
Hoffenheim,21,7.0,119,75,61,45,13,61,111,55.0,50,89,22,67,53,172,251,3
Köln,22,7.0,82,55,45,28,9,37,72,51.4,35,81,32,49,57,139,267,2
Leverkusen,24,7.0,101,65,47,39,15,43,73,58.9,30,69,15,54,50,151,159,6
Mainz 05,23,7.0,86,54,42,26,18,34,78,43.6,44,85,25,60,73,159,191,4
RB Leipzig,22,7.0,114,67,61,42,11,47,94,50.0,47,101,37,64,81,195,240,5
St. Pauli,18,7.0,131,77,48,57,26,70,113,61.9,43,64,18,46,56,187,126,4
Stuttgart,22,7.0,96,55,47,35,14,47,72,65.3,25,86,24,62,60,156,205,2
Union Berlin,19,8.0,120,72,58,51,11,54,109,49.5,55,86,35,51,69,189,281,5
Werder Bremen,23,8.0,138,74,66,60,12,65,126,51.6,61,118,40,78,67,205,258,6
Wolfsburg,22,7.0,111,70,68,34,9,54,106,50.9,52,86,25,61,78,189,239,6
