Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Augsburg,22,7.0,165,23.57,120,15,8,9,10,3,25,3.57,19,0,2,1,1,2
vs Bayern Munich,20,7.0,115,16.43,78,12,8,6,8,3,8,1.14,7,0,0,0,1,0
vs Dortmund,22,7.0,130,18.57,89,19,4,11,7,0,11,1.57,6,1,2,1,1,0
vs Eint Frankfurt,22,7.0,161,23.0,120,16,7,10,7,1,29,4.14,22,1,2,0,4,0
vs Freiburg,23,7.0,131,18.71,99,13,4,8,4,3,15,2.14,13,1,1,0,0,0
vs Gladbach,23,7.0,163,23.29,121,16,5,11,10,0,27,3.86,16,4,0,5,2,0
vs Hamburger SV,25,7.0,197,28.14,136,22,11,10,13,5,17,2.43,11,2,1,2,1,0
vs Heidenheim,24,7.0,200,28.57,148,15,15,10,8,4,25,3.57,19,0,3,1,1,1
vs Hoffenheim,21,7.0,135,19.29,83,17,9,13,11,2,19,2.71,7,2,2,5,3,0
vs Köln,22,7.0,180,25.71,130,19,5,11,12,3,16,2.29,7,2,0,2,5,0
vs Leverkusen,24,7.0,141,20.14,102,16,3,4,7,9,17,2.43,10,2,1,2,2,0
vs Mainz 05,23,7.0,190,27.14,133,19,10,12,11,5,24,3.43,15,1,2,3,1,2
vs RB Leipzig,22,7.0,186,26.57,149,9,6,14,5,3,18,2.57,16,0,1,0,0,1
vs St. Pauli,18,7.0,135,19.29,106,8,10,3,6,2,23,3.29,21,0,1,0,1,0
vs Stuttgart,22,7.0,137,19.57,95,17,6,14,5,0,9,1.29,7,0,0,1,1,0
vs Union Berlin,19,8.0,210,26.25,154,19,8,13,13,3,27,3.38,21,0,2,0,3,1
vs Werder Bremen,23,8.0,248,31.0,183,20,8,14,15,8,26,3.25,21,1,1,1,2,0
vs Wolfsburg,22,7.0,162,23.14,120,13,9,11,7,2,22,3.14,18,1,0,2,1,0
