Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Augsburg,1,7,7,630,7.0,12,1.71,29,17,62.1,4,1,2,0,0.0,1,1,0,0,0.0
vs Bayern Munich,1,7,7,630,7.0,27,3.86,63,36,63.5,0,0,7,0,0.0,4,4,0,0,0.0
vs Dortmund,1,7,7,628,7.0,13,1.86,33,19,60.6,1,2,4,0,0.0,1,0,1,0,100.0
vs Eint Frankfurt,2,7,7,630,7.0,19,2.71,34,15,47.1,3,1,3,1,14.3,1,1,0,0,0.0
vs Freiburg,1,7,7,630,7.0,11,1.57,24,14,66.7,2,3,2,1,14.3,3,3,0,0,0.0
vs Gladbach,1,7,7,630,7.0,6,0.86,34,28,82.4,4,3,0,4,57.1,0,0,0,0,
vs Hamburger SV,1,7,7,630,7.0,7,1.0,32,25,78.1,3,2,2,4,57.1,0,0,0,0,
vs Heidenheim,1,7,7,630,7.0,6,0.86,29,23,79.3,5,1,1,3,42.9,0,0,0,0,
vs Hoffenheim,1,7,7,630,7.0,12,1.71,34,22,70.6,3,1,3,1,14.3,2,2,0,0,0.0
vs Köln,1,7,7,630,7.0,12,1.71,28,16,57.1,2,2,3,0,0.0,0,0,0,0,
vs Leverkusen,1,7,7,630,7.0,16,2.29,35,19,62.9,1,2,4,0,0.0,3,3,0,0,0.0
vs Mainz 05,2,7,7,630,7.0,8,1.14,21,13,71.4,5,1,1,4,57.1,2,2,0,0,0.0
vs RB Leipzig,1,7,7,630,7.0,10,1.43,30,20,66.7,1,1,5,1,14.3,1,0,0,1,
vs St. Pauli,1,7,7,630,7.0,8,1.14,32,23,78.1,4,1,2,3,42.9,2,1,1,0,50.0
vs Stuttgart,1,7,7,630,7.0,11,1.57,39,27,74.4,2,0,5,0,0.0,2,1,1,0,50.0
vs Union Berlin,1,8,8,720,8.0,11,1.37,28,16,60.7,4,1,3,4,50.0,1,0,1,0,100.0
vs Werder Bremen,2,8,8,720,8.0,12,1.5,37,24,73.0,3,2,3,2,25.0,3,2,1,0,33.3
vs Wolfsburg,1,7,7,630,7.0,8,1.14,25,17,72.0,4,2,1,3,42.9,1,1,0,0,0.0
