Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Augsburg,1,7,7,630,7.0,14,2.0,36,21,63.9,2,1,4,0,0.0,2,1,1,0,50.0
Bayern Munich,1,7,7,630,7.0,4,0.57,14,10,71.4,7,0,0,4,57.1,0,0,0,0,
Dortmund,1,7,7,630,7.0,6,0.86,23,17,78.3,4,2,1,4,57.1,1,1,0,0,0.0
Eint Frankfurt,2,7,7,630,7.0,18,2.57,38,20,55.3,3,1,3,0,0.0,1,1,0,0,0.0
Freiburg,1,7,7,630,7.0,11,1.57,30,18,63.3,2,3,2,2,28.6,1,0,1,0,100.0
Gladbach,1,7,7,630,7.0,15,2.14,34,19,58.8,0,3,4,2,28.6,1,1,0,0,0.0
Hamburger SV,1,7,7,630,7.0,10,1.43,39,28,76.9,2,2,3,3,42.9,2,1,1,0,50.0
Heidenheim,1,7,7,630,7.0,13,1.86,39,26,69.2,1,1,5,0,0.0,1,1,0,0,0.0
Hoffenheim,1,7,7,630,7.0,12,1.71,31,19,67.7,3,1,3,1,14.3,2,2,0,0,0.0
Köln,1,7,7,630,7.0,10,1.43,31,21,74.2,3,2,2,2,28.6,2,2,0,0,0.0
Leverkusen,1,7,7,630,7.0,11,1.57,31,20,71.0,4,2,1,1,14.3,2,2,0,0,0.0
Mainz 05,2,7,7,628,7.0,14,2.01,33,19,60.6,1,1,5,0,0.0,1,1,0,0,0.0
RB Leipzig,1,7,7,630,7.0,9,1.29,25,16,64.0,5,1,1,3,42.9,0,0,0,0,
St. Pauli,1,7,7,630,7.0,12,1.71,36,22,66.7,2,1,4,1,14.3,2,0,2,0,100.0
Stuttgart,1,7,7,630,7.0,6,0.86,25,19,80.0,5,0,2,4,57.1,1,1,0,0,0.0
Union Berlin,1,8,8,720,8.0,15,1.87,44,29,72.7,3,1,4,1,12.5,3,3,0,0,0.0
Werder Bremen,2,8,8,720,8.0,16,2.0,43,28,69.8,3,2,3,3,37.5,3,3,0,0,0.0
Wolfsburg,1,7,7,630,7.0,13,1.86,35,22,65.7,1,2,4,0,0.0,2,1,0,1,0.0
