Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Augsburg,22,7.0,15,1,1,78,96,18,112,75,79,0,1,0,285,126,118,51.6
vs Bayern Munich,20,7.0,11,0,0,90,71,11,86,72,78,0,4,0,286,52,48,52.0
vs Dortmund,22,7.0,10,2,0,72,86,17,115,81,68,1,1,0,289,74,93,44.3
vs Eint Frankfurt,22,7.0,17,2,2,75,69,27,97,49,60,1,1,0,285,102,88,53.7
vs Freiburg,23,7.0,20,0,0,101,54,9,108,58,56,0,3,1,263,142,134,51.4
vs Gladbach,23,7.0,16,0,0,72,92,14,107,51,58,1,0,0,276,103,112,47.9
vs Hamburger SV,25,7.0,16,0,0,94,92,10,139,69,51,1,0,0,262,90,113,44.3
vs Heidenheim,24,7.0,23,0,0,85,74,8,121,57,57,1,0,0,323,118,88,57.3
vs Hoffenheim,21,7.0,10,1,0,66,98,12,135,66,64,1,2,0,270,117,122,49.0
vs Köln,22,7.0,11,1,0,85,67,12,166,39,58,2,0,0,231,120,136,46.9
vs Leverkusen,24,7.0,26,1,1,98,72,9,127,61,66,2,3,0,296,85,111,43.4
vs Mainz 05,23,7.0,13,1,1,88,83,8,85,71,65,1,2,0,271,143,170,45.7
vs RB Leipzig,22,7.0,15,0,0,78,74,11,149,60,59,0,1,0,293,98,84,53.8
vs St. Pauli,18,7.0,21,2,1,86,85,14,62,75,62,2,2,0,289,125,79,61.3
vs Stuttgart,22,7.0,11,1,0,93,72,13,129,66,62,1,2,0,272,121,117,50.8
vs Union Berlin,19,8.0,18,1,0,98,113,10,156,44,70,3,1,0,325,166,142,53.9
vs Werder Bremen,23,8.0,11,0,0,78,65,10,164,88,75,2,3,0,380,93,102,47.7
vs Wolfsburg,22,7.0,16,0,0,73,71,16,183,59,45,1,1,0,266,95,113,45.7
