Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Augsburg,22,7.0,3466,3075,373,116,21,11,112,166,32,16,9,0,2670,18,69
vs Bayern Munich,20,7.0,2922,2593,318,87,5,13,86,114,33,18,9,0,2291,11,53
vs Dortmund,22,7.0,3244,2910,317,99,5,23,115,105,37,16,14,0,2578,17,62
vs Eint Frankfurt,22,7.0,3207,2855,325,69,14,16,97,144,20,14,3,0,2558,27,62
vs Freiburg,23,7.0,3214,2910,295,70,3,25,108,120,24,16,5,0,2529,9,49
vs Gladbach,23,7.0,3507,3161,332,104,5,12,107,132,32,18,7,0,2880,14,52
vs Hamburger SV,25,7.0,3778,3398,370,104,12,18,139,162,41,12,12,0,3123,10,57
vs Heidenheim,24,7.0,3838,3528,302,87,11,20,121,134,19,11,5,0,3187,8,63
vs Hoffenheim,21,7.0,3171,2774,385,112,6,23,135,157,46,29,13,1,2418,12,76
vs Köln,22,7.0,3570,3205,353,77,8,17,166,155,50,23,16,0,2854,12,63
vs Leverkusen,24,7.0,3150,2826,315,78,6,10,127,130,38,17,13,0,2494,9,60
vs Mainz 05,23,7.0,3079,2703,368,99,11,16,85,167,26,13,6,0,2348,8,60
vs RB Leipzig,22,7.0,3629,3296,322,87,20,30,149,126,34,24,7,0,2938,11,74
vs St. Pauli,18,7.0,3497,3182,301,94,15,14,62,118,25,12,5,1,2863,14,49
vs Stuttgart,22,7.0,2891,2561,317,82,6,9,129,116,38,24,11,0,2150,13,68
vs Union Berlin,19,8.0,5174,4776,388,125,17,18,156,143,40,15,12,0,4388,10,57
vs Werder Bremen,23,8.0,4427,4051,366,69,8,34,164,169,48,31,11,0,3623,10,89
vs Wolfsburg,22,7.0,3512,3140,356,72,5,21,183,148,54,28,8,0,2793,16,68
