Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Augsburg,22,7.0,3057,2692,346,89,3,6,130,143,33,16,9,0,2331,19,63
Bayern Munich,20,7.0,4737,4411,312,94,26,43,83,132,34,22,0,1,4159,14,70
Dortmund,22,7.0,4060,3726,321,85,9,15,120,145,34,25,2,0,3414,13,60
Eint Frankfurt,22,7.0,3741,3366,369,100,10,17,122,149,36,28,1,0,3042,6,72
Freiburg,23,7.0,3211,2846,349,101,6,12,142,166,27,25,2,0,2462,16,57
Gladbach,23,7.0,3567,3235,318,84,7,13,155,116,44,26,11,0,2930,14,55
Hamburger SV,25,7.0,3116,2784,317,100,13,22,108,125,21,16,3,0,2515,15,47
Heidenheim,24,7.0,2776,2419,343,86,5,22,115,124,38,12,14,0,2087,14,63
Hoffenheim,21,7.0,3321,2985,325,71,10,13,137,150,41,22,9,1,2582,11,61
Köln,22,7.0,3078,2712,352,93,5,9,121,141,34,27,3,0,2394,14,52
Leverkusen,24,7.0,4231,3904,319,95,11,32,82,117,28,21,4,0,3615,8,56
Mainz 05,23,7.0,3285,2890,374,90,5,22,164,172,40,11,18,0,2444,21,72
RB Leipzig,22,7.0,3368,3030,325,81,18,14,98,120,44,20,13,0,2734,13,57
St. Pauli,18,7.0,3835,3460,362,93,14,18,154,176,39,10,22,0,3004,13,71
Stuttgart,22,7.0,4143,3812,320,100,11,20,152,122,43,14,6,0,3471,11,58
Union Berlin,19,8.0,2604,2208,382,106,5,11,154,145,42,20,20,0,1790,14,73
Werder Bremen,23,8.0,3984,3620,353,78,8,25,91,146,27,4,16,0,3199,11,72
Wolfsburg,22,7.0,3162,2844,316,85,12,16,113,117,32,18,13,0,2512,2,72
