Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Augsburg,22,53.1,7.0,4345,459,1491,1781,1116,187,4343,112,46,41.1,58,51.8,2310,11311,5628,97,75,35,124,47,2639,268
vs Bayern Munich,20,38.3,7.0,3719,609,1704,1359,702,118,3719,105,58,55.2,39,37.1,2082,10362,4813,97,60,19,94,47,2276,198
vs Dortmund,22,44.9,7.0,4049,495,1632,1626,825,119,4048,87,38,43.7,37,42.5,1935,9361,4488,88,55,20,119,42,2556,191
vs Eint Frankfurt,22,45.4,7.0,4082,476,1395,1841,888,151,4081,110,40,36.4,64,58.2,2065,10983,5350,113,75,26,119,57,2528,234
vs Freiburg,23,50.1,7.0,4112,539,1438,1871,835,137,4111,69,20,29.0,49,71.0,2051,11269,5483,105,81,24,109,47,2498,222
vs Gladbach,23,49.0,7.0,4331,539,1449,1916,995,175,4330,111,45,40.5,58,52.3,2713,13275,6276,117,87,36,106,77,2842,212
vs Hamburger SV,25,54.4,7.0,4566,413,1172,2234,1214,174,4564,106,48,45.3,48,45.3,2593,12295,6533,105,76,22,105,50,3104,323
vs Heidenheim,24,57.4,7.0,4663,385,1188,2207,1323,173,4662,126,67,53.2,50,39.7,2851,14732,8530,161,135,35,102,45,3163,348
vs Hoffenheim,21,48.4,7.0,4040,481,1423,1752,892,127,4038,122,50,41.0,61,50.0,2011,10517,5055,88,68,26,133,58,2398,210
vs Köln,22,53.6,7.0,4327,379,1322,1867,1165,198,4325,78,35,44.9,37,47.4,2253,10679,5233,110,67,32,93,45,2836,267
vs Leverkusen,24,43.4,7.0,3906,397,1235,1751,956,148,3904,75,30,40.0,43,57.3,2153,10672,5091,96,74,20,95,58,2477,252
vs Mainz 05,23,48.1,7.0,4073,569,1611,1678,822,142,4072,83,44,53.0,34,41.0,1887,9259,4711,102,76,38,124,52,2327,206
vs RB Leipzig,22,51.4,7.0,4464,505,1423,1994,1077,186,4464,103,47,45.6,47,45.6,2486,12976,6607,124,80,41,116,67,2912,321
vs St. Pauli,18,47.9,7.0,4462,506,1653,2153,698,118,4460,123,43,35.0,70,56.9,2334,10872,5560,90,59,24,145,61,2833,239
vs Stuttgart,22,40.9,7.0,3661,531,1448,1442,803,137,3660,74,25,33.8,47,63.5,1582,8433,4099,72,53,20,82,49,2109,196
vs Union Berlin,19,66.4,8.0,6165,510,1649,3278,1285,198,6162,118,55,46.6,54,45.8,3681,19384,10762,193,135,28,138,66,4359,413
vs Werder Bremen,23,52.3,8.0,5401,451,1498,2502,1456,217,5398,132,61,46.2,65,49.2,2788,13418,6734,131,108,38,160,73,3589,366
vs Wolfsburg,22,52.3,7.0,4236,411,1189,1802,1273,196,4234,109,52,47.7,54,49.5,2344,11747,6233,137,108,46,99,57,2768,272
