Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Augsburg,22,46.9,7.0,3996,442,1320,1793,926,127,3995,111,40,36.0,62,55.9,1998,10034,4878,97,68,22,145,60,2317,240
Bayern Munich,20,61.7,7.0,5526,417,1380,2693,1503,230,5522,147,54,36.7,76,51.7,3573,16917,8499,145,108,65,111,54,4135,336
Dortmund,22,55.1,7.0,4858,396,1256,2295,1343,164,4857,127,57,44.9,60,47.2,2851,13885,7812,135,122,26,122,60,3401,371
Eint Frankfurt,22,54.6,7.0,4570,495,1527,1986,1091,169,4569,102,41,40.2,57,55.9,2485,11854,6049,125,88,30,117,57,3021,282
Freiburg,23,49.9,7.0,4020,392,1308,1837,905,162,4017,108,48,44.4,53,49.1,2017,11444,5255,92,76,22,116,52,2405,247
Gladbach,23,51.0,7.0,4382,481,1335,2107,979,161,4382,81,26,32.1,53,65.4,2333,12396,6431,113,93,24,113,58,2905,301
Hamburger SV,25,45.6,7.0,3994,494,1531,1758,755,132,3994,109,57,52.3,44,40.4,2320,12785,6755,124,82,30,120,53,2486,220
Heidenheim,24,42.6,7.0,3548,482,1414,1374,799,123,3548,85,38,44.7,39,45.9,1734,9408,5255,83,60,16,96,41,2060,205
Hoffenheim,21,51.6,7.0,4219,429,1394,1946,916,175,4217,84,38,45.2,42,50.0,1866,9860,4734,113,56,26,102,58,2560,259
Köln,22,46.4,7.0,3916,523,1413,1616,910,156,3916,71,32,45.1,36,50.7,2001,10209,4775,95,76,31,100,52,2365,206
Leverkusen,24,56.6,7.0,5004,479,1562,2477,1005,143,5001,129,60,46.5,54,41.9,3154,15230,7798,124,96,31,101,53,3579,229
Mainz 05,23,51.9,7.0,4106,356,1164,1711,1271,206,4104,88,47,53.4,37,42.0,1976,9886,4637,93,71,26,126,61,2423,313
RB Leipzig,22,48.6,7.0,4326,598,1647,1799,926,203,4325,151,79,52.3,62,41.1,2455,12938,6832,156,94,54,109,43,2727,248
St. Pauli,18,52.1,7.0,4583,374,1349,2133,1141,140,4581,86,36,41.9,46,53.5,1915,8729,4340,96,58,17,119,59,2973,287
Stuttgart,22,59.1,7.0,4927,472,1330,2412,1224,172,4925,83,39,47.0,38,45.8,2851,14078,7323,149,114,37,97,56,3430,333
Union Berlin,19,33.6,8.0,3605,489,1323,1472,850,153,3604,89,37,41.6,49,55.1,1660,8087,3914,84,58,20,139,70,1770,177
Werder Bremen,23,47.8,8.0,4989,698,1934,2140,956,149,4986,118,49,41.5,64,54.2,2815,14149,6931,120,94,28,131,66,3174,283
Wolfsburg,22,47.7,7.0,4033,638,1733,1505,825,136,4032,74,26,35.1,43,58.1,2115,9656,4968,82,58,25,99,45,2483,201
