Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Augsburg,22,26.3,46.9,7,77,630,7.0,12,8,20,11,1,1,23,0,7.4,6.7,5.4,12.1,97,241,1.71,1.14,2.86,1.57,2.71,1.06,0.78,1.84,0.95,1.73
Bayern Munich,20,28.7,61.7,7,77,630,7.0,27,20,47,23,4,4,17,0,18.8,15.8,12.5,28.3,145,339,3.86,2.86,6.71,3.29,6.14,2.69,1.79,4.47,2.26,4.05
Dortmund,22,27.0,55.1,7,77,630,7.0,13,12,25,13,0,1,12,1,11.7,10.9,9.5,20.4,135,371,1.86,1.71,3.57,1.86,3.57,1.67,1.36,3.03,1.56,2.91
Eint Frankfurt,22,24.7,54.6,7,77,630,7.0,19,15,34,18,1,1,16,0,10.9,10.1,8.8,18.9,125,284,2.71,2.14,4.86,2.57,4.71,1.55,1.25,2.81,1.44,2.69
Freiburg,23,27.7,49.9,7,77,630,7.0,10,5,15,7,3,3,12,1,10.3,7.9,6.7,14.6,92,251,1.43,0.71,2.14,1.0,1.71,1.47,0.95,2.42,1.13,2.08
Gladbach,23,26.3,51.0,7,77,630,7.0,6,6,12,6,0,0,16,0,8.1,8.1,6.4,14.5,113,301,0.86,0.86,1.71,0.86,1.71,1.16,0.91,2.07,1.16,2.07
Hamburger SV,25,26.3,45.6,7,77,630,7.0,7,6,13,7,0,0,16,2,7.9,7.9,6.4,14.3,124,220,1.0,0.86,1.86,1.0,1.86,1.13,0.91,2.05,1.13,2.05
Heidenheim,24,27.0,42.6,7,77,630,7.0,6,5,11,6,0,0,13,1,10.0,10.0,8.3,18.3,83,208,0.86,0.71,1.57,0.86,1.57,1.43,1.18,2.61,1.43,2.61
Hoffenheim,21,26.6,51.6,7,77,630,7.0,12,8,20,10,2,2,15,0,11.3,9.7,8.5,18.3,113,260,1.71,1.14,2.86,1.43,2.57,1.62,1.22,2.83,1.39,2.61
Köln,22,25.9,46.4,7,77,630,7.0,12,10,22,12,0,0,13,0,9.6,9.6,7.9,17.5,95,209,1.71,1.43,3.14,1.71,3.14,1.37,1.13,2.5,1.37,2.5
Leverkusen,24,26.5,56.6,7,77,630,7.0,16,7,23,13,3,3,23,2,13.4,11.1,7.6,18.7,124,229,2.29,1.0,3.29,1.86,2.86,1.92,1.08,3.0,1.59,2.67
Mainz 05,23,28.4,51.9,7,77,630,7.0,8,3,11,6,2,2,17,3,9.7,8.2,6.2,14.3,93,318,1.14,0.43,1.57,0.86,1.29,1.39,0.88,2.27,1.17,2.05
RB Leipzig,22,25.8,48.6,7,77,630,7.0,10,7,17,10,0,1,12,0,12.4,11.6,7.5,19.1,156,249,1.43,1.0,2.43,1.43,2.43,1.77,1.08,2.85,1.66,2.74
St. Pauli,18,27.2,52.1,7,77,630,7.0,8,4,12,7,1,2,13,0,7.9,6.3,4.9,11.2,96,289,1.14,0.57,1.71,1.0,1.57,1.13,0.69,1.83,0.9,1.6
Stuttgart,22,25.3,59.1,7,77,630,7.0,11,9,20,10,1,2,11,0,9.7,8.1,7.4,15.5,149,338,1.57,1.29,2.86,1.43,2.71,1.39,1.06,2.44,1.16,2.22
Union Berlin,19,27.9,33.6,8,88,720,8.0,11,6,17,11,0,1,17,1,9.7,8.9,5.9,14.8,84,181,1.37,0.75,2.12,1.37,2.12,1.21,0.73,1.95,1.11,1.85
Werder Bremen,23,25.1,47.8,8,88,720,8.0,12,8,20,10,2,3,22,1,11.1,8.7,6.9,15.7,120,287,1.5,1.0,2.5,1.25,2.25,1.38,0.87,2.25,1.09,1.96
Wolfsburg,22,25.8,47.7,7,77,630,7.0,8,6,14,7,1,1,12,1,9.9,9.2,7.8,16.9,82,202,1.14,0.86,2.0,1.0,1.86,1.42,1.11,2.53,1.31,2.42
