Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Birmingham City,25,11.0,156,90,64,68,24,80,143,55.9,63,97,19,78,91,247,320,5
Blackburn,23,10.0,195,125,90,77,28,101,181,55.8,80,103,34,69,88,283,303,2
Bristol City,21,11.0,177,110,93,56,28,92,168,54.8,76,128,39,89,109,286,368,5
Charlton Ath,21,11.0,177,101,81,61,35,80,151,53.0,71,135,58,77,92,269,367,3
Coventry City,22,11.0,142,93,71,50,21,66,143,46.2,77,121,32,89,85,227,289,4
Derby County,25,11.0,166,104,76,66,24,72,131,55.0,59,110,38,72,74,240,376,7
Hull City,26,11.0,186,113,95,76,15,94,172,54.7,78,151,63,88,78,264,399,6
Ipswich Town,26,10.0,107,62,41,56,10,43,89,48.3,46,89,23,66,74,181,276,5
Leicester City,25,11.0,151,100,72,56,23,72,138,52.2,66,92,35,57,68,219,327,5
Middlesbrough,23,11.0,188,122,88,69,31,86,162,53.1,76,135,52,83,76,264,291,5
Millwall,27,11.0,210,129,98,81,31,90,162,55.6,72,131,42,89,95,305,378,4
Norwich City,24,11.0,194,119,101,75,18,102,172,59.3,70,145,64,81,92,286,335,8
Oxford United,26,11.0,209,133,124,67,18,100,185,54.1,85,117,35,82,97,306,372,7
Portsmouth,26,11.0,149,89,70,53,26,62,134,46.3,72,111,43,68,70,219,368,4
Preston,19,12.0,208,121,102,87,19,102,173,59.0,71,151,47,104,104,312,379,5
QPR,25,11.0,156,100,66,72,18,71,135,52.6,64,104,44,60,69,225,373,7
Sheffield Utd,27,12.0,174,109,73,72,29,69,146,47.3,77,118,37,81,81,255,379,6
Sheffield Weds,22,11.0,171,100,94,62,15,77,152,50.7,75,124,52,72,89,260,339,5
Southampton,27,11.0,151,96,62,71,18,62,120,51.7,58,96,26,70,80,231,276,10
Stoke City,19,11.0,154,80,67,71,16,64,130,49.2,66,96,27,69,66,220,284,6
Swansea City,20,11.0,186,114,91,78,17,87,151,57.6,64,119,49,70,88,274,360,5
Watford,28,11.0,155,91,93,52,10,68,126,54.0,58,113,32,81,91,246,379,7
West Brom,25,11.0,156,102,78,64,14,81,157,51.6,76,85,33,52,87,243,346,4
Wrexham,23,11.0,198,129,96,83,19,96,186,51.6,90,145,50,95,93,291,349,2
