Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Birmingham City,25,11.0,178,16.18,121,23,10,9,12,3,18,1.64,8,3,1,4,1,1
vs Blackburn,23,10.0,194,19.4,130,23,6,14,18,3,29,2.9,23,2,0,0,4,0
vs Bristol City,21,11.0,219,19.91,152,24,10,19,9,5,18,1.64,8,3,0,3,4,0
vs Charlton Ath,21,11.0,282,25.64,204,26,14,18,14,6,15,1.36,12,0,0,2,0,1
vs Coventry City,22,11.0,213,19.36,160,18,12,10,10,3,13,1.18,8,2,0,1,2,0
vs Derby County,25,11.0,276,25.09,204,24,11,21,13,3,30,2.73,23,0,1,3,3,0
vs Hull City,26,11.0,337,30.64,255,28,15,20,14,5,31,2.82,22,4,0,3,2,0
vs Ipswich Town,26,10.0,167,16.7,108,17,12,17,11,2,20,2.0,12,2,1,3,2,0
vs Leicester City,25,11.0,238,21.64,164,25,15,13,16,5,20,1.82,15,0,3,1,1,0
vs Middlesbrough,23,11.0,223,20.27,166,15,10,16,10,6,14,1.27,10,3,0,1,0,0
vs Millwall,27,11.0,244,22.18,171,21,8,22,16,6,19,1.73,14,0,0,5,0,0
vs Norwich City,24,11.0,293,26.64,206,25,16,28,11,7,26,2.36,18,1,2,4,0,1
vs Oxford United,26,11.0,242,22.0,175,22,17,13,11,4,21,1.91,18,0,0,2,1,0
vs Portsmouth,26,11.0,270,24.55,196,29,14,15,12,4,21,1.91,14,2,0,2,2,1
vs Preston,19,12.0,252,21.0,178,27,15,11,18,3,19,1.58,12,3,1,2,1,0
vs QPR,25,11.0,250,22.73,184,21,11,12,18,4,29,2.64,23,3,0,1,1,1
vs Sheffield Utd,27,12.0,275,22.92,203,20,13,19,10,10,31,2.58,22,0,3,4,1,1
vs Sheffield Weds,22,11.0,332,30.18,230,31,17,31,16,7,36,3.27,23,2,0,7,3,1
vs Southampton,27,11.0,189,17.18,120,19,13,12,19,6,23,2.09,12,2,1,3,3,2
vs Stoke City,19,11.0,223,20.27,173,14,13,13,4,6,14,1.27,12,1,1,0,0,0
vs Swansea City,20,11.0,253,23.0,186,23,8,23,8,5,20,1.82,14,2,1,1,2,0
vs Watford,28,11.0,238,21.64,174,29,6,13,12,4,17,1.55,11,0,0,3,3,0
vs West Brom,25,11.0,227,20.64,167,20,11,15,11,3,23,2.09,22,1,0,0,0,0
vs Wrexham,23,11.0,285,25.91,211,20,18,23,9,4,25,2.27,21,0,1,2,1,0
