Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Birmingham City,25,11.0,253,23.0,184,23,16,17,12,1,18,1.64,10,2,0,3,3,0
Blackburn,23,10.0,210,21.0,148,24,11,15,7,5,10,1.0,8,1,0,1,0,0
Bristol City,21,11.0,278,25.27,196,23,13,20,17,9,29,2.64,22,1,0,3,1,2
Charlton Ath,21,11.0,241,21.91,169,21,9,15,20,7,23,2.09,14,2,1,3,3,0
Coventry City,22,11.0,322,29.27,229,30,13,29,13,8,51,4.64,37,0,0,8,4,2
Derby County,25,11.0,156,14.18,110,9,13,13,7,4,19,1.73,12,1,3,2,1,0
Hull City,26,11.0,225,20.45,181,11,13,9,8,3,32,2.91,26,1,1,3,1,0
Ipswich Town,26,10.0,292,29.2,200,32,13,25,16,6,21,2.1,10,3,1,5,2,0
Leicester City,25,11.0,295,26.82,215,28,27,9,14,2,26,2.36,22,1,1,0,2,0
Middlesbrough,23,11.0,229,20.82,161,17,11,26,4,10,24,2.18,19,2,0,3,0,0
Millwall,27,11.0,251,22.82,189,20,8,17,7,10,23,2.09,17,1,1,2,1,1
Norwich City,24,11.0,234,21.27,168,16,17,17,13,3,19,1.73,13,3,0,1,2,0
Oxford United,26,11.0,263,23.91,169,33,15,20,21,5,16,1.45,5,4,0,3,4,0
Portsmouth,26,11.0,231,21.0,164,23,9,16,16,3,16,1.45,10,2,1,2,1,0
Preston,19,12.0,254,21.17,194,26,11,8,13,2,26,2.17,22,2,1,0,1,0
QPR,25,11.0,245,22.27,179,25,8,14,14,5,20,1.82,15,2,0,1,1,1
Sheffield Utd,27,12.0,240,20.0,154,37,11,22,12,4,15,1.25,11,1,2,1,0,0
Sheffield Weds,22,11.0,213,19.36,157,22,8,9,10,7,15,1.36,6,2,1,1,3,2
Southampton,27,11.0,298,27.09,215,27,10,23,20,3,21,1.91,14,1,1,3,2,0
Stoke City,19,11.0,242,22.0,182,20,13,16,6,5,19,1.73,14,1,0,4,0,0
Swansea City,20,11.0,197,17.91,140,20,11,10,15,1,17,1.55,14,0,0,2,1,0
Watford,28,11.0,269,24.45,203,14,13,22,12,5,23,2.09,17,1,0,2,2,1
West Brom,25,11.0,250,22.73,183,23,10,16,16,2,23,2.09,19,1,2,0,1,0
Wrexham,23,11.0,212,19.27,148,20,12,19,9,4,26,2.36,20,1,0,4,1,0
