Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Birmingham City,2,11,11,990,11.0,11,1.0,32,21,71.9,4,3,4,3,27.3,2,2,0,0,0.0
vs Blackburn,1,10,10,900,10.0,8,0.8,33,25,75.8,7,1,2,4,40.0,0,0,0,0,
vs Bristol City,1,11,11,990,11.0,19,1.73,40,22,52.5,2,4,5,2,18.2,0,0,0,0,
vs Charlton Ath,1,11,11,989,11.0,13,1.18,46,33,71.7,3,3,5,3,27.3,0,0,0,0,
vs Coventry City,1,11,11,990,11.0,31,2.82,63,33,52.4,0,4,7,2,18.2,1,1,0,0,0.0
vs Derby County,1,11,11,990,11.0,12,1.09,28,16,64.3,4,5,2,2,18.2,2,2,0,0,0.0
vs Hull City,1,11,11,990,11.0,19,1.73,55,37,65.5,3,3,5,2,18.2,0,0,0,0,
vs Ipswich Town,2,10,10,900,10.0,16,1.6,46,30,71.7,3,4,3,2,20.0,4,3,1,0,25.0
vs Leicester City,1,11,11,990,11.0,15,1.36,51,37,70.6,2,5,4,1,9.1,0,0,0,0,
vs Middlesbrough,1,11,11,990,11.0,15,1.36,43,29,65.1,1,3,7,2,18.2,0,0,0,0,
vs Millwall,2,11,11,990,11.0,13,1.18,38,25,65.8,3,2,6,3,27.3,0,0,0,0,
vs Norwich City,1,11,11,990,11.0,11,1.0,38,27,73.7,7,2,2,3,27.3,1,1,0,0,0.0
vs Oxford United,1,11,11,990,11.0,11,1.0,39,30,71.8,6,3,2,5,45.5,0,0,0,0,
vs Portsmouth,3,11,11,990,11.0,10,0.91,35,24,71.4,4,4,3,2,18.2,1,0,1,0,100.0
vs Preston,1,12,12,1080,12.0,15,1.25,40,26,65.0,3,4,5,3,25.0,1,1,0,0,0.0
vs QPR,2,11,11,990,11.0,15,1.36,40,27,65.0,3,3,5,1,9.1,1,1,0,0,0.0
vs Sheffield Utd,1,12,12,1080,12.0,9,0.75,31,22,71.0,9,0,3,6,50.0,1,0,1,0,100.0
vs Sheffield Weds,3,11,11,990,11.0,9,0.82,39,30,76.9,7,3,1,5,45.5,0,0,0,0,
vs Southampton,2,11,11,990,11.0,12,1.09,54,42,77.8,3,6,2,2,18.2,1,0,0,1,
vs Stoke City,1,11,11,990,11.0,12,1.09,44,32,72.7,3,3,5,4,36.4,0,0,0,0,
vs Swansea City,1,11,11,990,11.0,10,0.91,35,25,74.3,4,4,3,4,36.4,1,1,0,0,0.0
vs Watford,2,11,11,990,11.0,13,1.18,47,34,72.3,4,3,4,4,36.4,0,0,0,0,
vs West Brom,1,11,11,990,11.0,12,1.09,39,27,69.2,4,2,5,2,18.2,0,0,0,0,
vs Wrexham,2,11,11,990,11.0,15,1.36,46,31,69.6,4,4,3,1,9.1,1,1,0,0,0.0
