Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Birmingham City,25,11.0,26,0,0,134,132,28,175,98,105,0,2,0,400,189,217,46.6
vs Blackburn,23,10.0,18,1,1,117,119,19,159,87,101,2,0,0,384,221,226,49.4
vs Bristol City,21,11.0,19,0,0,129,107,21,187,107,102,1,0,1,450,199,229,46.5
vs Charlton Ath,21,11.0,13,1,0,128,127,12,224,66,100,0,0,0,406,291,269,52.0
vs Coventry City,22,11.0,24,1,1,111,102,35,182,66,101,0,1,1,394,205,202,50.4
vs Derby County,25,11.0,19,0,0,101,136,15,254,74,87,2,2,0,425,244,251,49.3
vs Hull City,26,11.0,22,1,1,107,122,21,279,88,98,2,0,1,453,232,191,54.8
vs Ipswich Town,26,10.0,34,0,0,142,111,9,144,83,93,1,4,1,356,136,187,42.1
vs Leicester City,25,11.0,21,1,1,126,111,19,214,107,130,1,0,1,424,170,151,53.0
vs Middlesbrough,23,11.0,21,1,0,126,97,29,209,104,124,1,0,1,447,145,151,49.0
vs Millwall,27,11.0,23,1,1,100,154,13,210,66,94,0,0,0,390,233,272,46.1
vs Norwich City,24,11.0,27,1,0,123,97,36,246,91,112,1,1,0,491,213,164,56.5
vs Oxford United,26,11.0,22,2,0,119,125,29,230,82,104,0,0,2,434,208,218,48.8
vs Portsmouth,26,11.0,26,0,0,134,108,22,239,100,98,0,1,0,411,230,236,49.4
vs Preston,19,12.0,19,0,0,112,114,40,233,77,113,0,1,1,481,215,249,46.3
vs QPR,25,11.0,24,2,0,111,110,22,247,82,103,0,1,2,391,239,262,47.7
vs Sheffield Utd,27,12.0,19,0,0,143,141,20,195,105,119,1,1,1,469,248,248,50.0
vs Sheffield Weds,22,11.0,14,0,0,97,122,28,234,81,91,0,0,0,454,263,187,58.4
vs Southampton,27,11.0,36,1,1,141,133,18,188,76,99,1,1,0,396,171,153,52.8
vs Stoke City,19,11.0,19,0,0,102,99,13,212,94,123,0,0,0,451,194,195,49.9
vs Swansea City,20,11.0,26,0,0,144,120,21,206,103,107,0,1,0,442,229,166,58.0
vs Watford,28,11.0,27,0,0,110,120,23,223,69,123,0,0,0,413,193,226,46.1
vs West Brom,25,11.0,18,0,0,116,100,13,231,69,102,0,0,0,408,203,187,52.1
vs Wrexham,23,11.0,17,0,0,106,89,11,226,62,103,0,1,0,478,176,210,45.6
