Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Birmingham City,25,11.0,4386,3766,592,148,4,28,175,280,44,21,13,5,3147,28,89
vs Blackburn,23,10.0,4368,3825,524,138,1,20,159,235,43,23,16,0,3327,19,79
vs Bristol City,21,11.0,5222,4610,591,128,8,29,187,284,53,35,12,3,3974,21,103
vs Charlton Ath,21,11.0,5061,4477,572,145,3,17,224,254,52,32,10,2,3762,12,90
vs Coventry City,22,11.0,4595,4014,546,128,8,32,182,217,57,28,15,2,3439,35,93
vs Derby County,25,11.0,5571,5022,534,148,7,30,254,233,66,40,14,3,4416,15,85
vs Hull City,26,11.0,5497,4909,567,133,10,17,279,265,66,37,19,0,4313,21,110
vs Ipswich Town,26,10.0,3574,3066,499,132,5,19,144,201,40,26,12,0,2508,9,73
vs Leicester City,25,11.0,4390,3854,517,117,3,20,214,212,47,33,8,1,3410,19,68
vs Middlesbrough,23,11.0,5330,4804,497,113,4,33,209,209,57,30,19,3,4271,29,97
vs Millwall,27,11.0,5216,4563,640,176,5,33,210,282,57,33,9,3,3927,13,97
vs Norwich City,24,11.0,4788,4226,526,115,16,31,246,238,71,46,14,0,3619,36,101
vs Oxford United,26,11.0,5342,4725,588,148,18,25,230,248,75,48,16,1,4131,29,106
vs Portsmouth,26,11.0,4952,4368,562,130,13,20,239,257,61,27,23,0,3689,22,81
vs Preston,19,12.0,5419,4733,646,128,33,29,233,308,60,40,15,0,4038,40,113
vs QPR,25,11.0,4976,4392,562,135,10,28,247,256,54,40,12,0,3731,22,69
vs Sheffield Utd,27,12.0,4970,4381,569,153,10,24,195,248,45,20,16,1,3646,20,100
vs Sheffield Weds,22,11.0,5215,4647,540,127,8,15,234,247,71,36,20,0,4020,28,78
vs Southampton,27,11.0,3997,3474,505,147,11,20,188,208,35,25,6,0,2931,18,77
vs Stoke City,19,11.0,4578,4054,511,133,8,27,212,207,47,29,17,0,3439,13,85
vs Swansea City,20,11.0,4658,4088,549,144,5,39,206,250,52,28,18,0,3489,21,86
vs Watford,28,11.0,4702,4137,542,131,9,22,223,225,56,19,27,0,3547,23,102
vs West Brom,25,11.0,5157,4651,493,123,7,43,231,209,41,26,8,0,4055,13,63
vs Wrexham,23,11.0,5931,5446,474,104,5,37,226,212,61,40,14,0,4787,11,109
