Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Birmingham City,25,11.0,5364,4768,578,153,9,22,233,263,58,43,7,0,4130,18,93
Blackburn,23,10.0,4287,3729,530,133,4,41,213,244,50,25,17,2,3139,28,99
Bristol City,21,11.0,4578,4027,529,138,22,22,171,240,55,23,18,0,3359,22,100
Charlton Ath,21,11.0,3712,3124,565,134,3,10,217,261,42,30,6,3,2405,23,71
Coventry City,22,11.0,5016,4430,560,137,7,20,250,259,62,38,22,0,3822,26,84
Derby County,25,11.0,4223,3704,500,106,11,17,210,237,47,34,10,0,3023,19,94
Hull City,26,11.0,4363,3819,526,124,7,43,165,225,45,28,11,0,3233,18,72
Ipswich Town,26,10.0,4759,4214,520,142,17,23,220,217,67,55,10,0,3754,25,72
Leicester City,25,11.0,5797,5231,556,143,13,24,224,233,72,33,18,1,4859,10,80
Middlesbrough,23,11.0,5393,4845,530,152,18,39,166,224,57,35,8,0,4338,18,107
Millwall,27,11.0,4452,3910,518,108,7,31,220,240,50,29,16,1,3094,24,106
Norwich City,24,11.0,5466,4915,530,148,10,41,197,212,53,35,13,2,4338,21,80
Oxford United,26,11.0,4255,3676,554,138,6,28,177,268,36,12,20,1,3051,25,92
Portsmouth,26,11.0,4769,4170,575,148,6,27,257,247,57,30,15,0,3477,24,85
Preston,19,12.0,4850,4194,636,144,4,20,265,299,47,24,12,2,3454,20,117
QPR,25,11.0,4625,4058,540,128,8,27,182,229,51,31,14,1,3416,27,91
Sheffield Utd,27,12.0,5724,5043,663,153,6,22,252,290,83,45,24,1,4357,18,118
Sheffield Weds,22,11.0,4315,3726,580,123,6,21,195,248,61,26,21,4,3066,9,83
Southampton,27,11.0,5938,5373,544,147,12,25,267,227,61,12,45,0,4815,21,94
Stoke City,19,11.0,5073,4498,543,111,8,39,236,263,67,47,7,5,3919,32,77
Swansea City,20,11.0,5612,5023,560,156,7,22,185,250,47,17,22,0,4447,29,86
Watford,28,11.0,4888,4349,524,123,9,21,204,227,43,25,14,0,3834,15,81
West Brom,25,11.0,5809,5311,475,124,5,24,228,170,52,46,3,0,4773,23,101
Wrexham,23,11.0,4627,4095,510,111,6,29,213,212,48,39,0,1,3513,22,71
