Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
vs Birmingham City,25,11.0,3147,4386,71.8,58196,23461,1362,1616,84.3,1302,1616,80.6,385,886,43.5,7,8.3,7.9,-1.3,79,265,67,25,300
vs Blackburn,23,10.0,3327,4368,76.2,63492,23210,1265,1468,86.2,1636,1930,84.8,373,786,47.5,11,8.2,8.2,2.8,84,286,52,15,288
vs Bristol City,21,11.0,3974,5222,76.1,71758,25535,1658,1921,86.3,1877,2217,84.7,362,832,43.5,6,10.6,9.7,-4.6,96,315,55,14,342
vs Charlton Ath,21,11.0,3762,5061,74.3,66417,25099,1649,1902,86.7,1615,1963,82.3,374,897,41.7,7,9.7,10.6,-2.7,119,270,93,32,377
vs Coventry City,22,11.0,3439,4595,74.8,63448,25443,1465,1685,86.9,1525,1844,82.7,370,817,45.3,3,6.8,7.8,-3.8,85,270,81,23,331
vs Derby County,25,11.0,4416,5571,79.3,78394,27071,1956,2182,89.6,1978,2303,85.9,402,864,46.5,10,9.9,12.1,0.1,110,397,88,24,456
vs Hull City,26,11.0,4313,5497,78.5,76165,28788,1938,2188,88.6,1886,2200,85.7,401,843,47.6,13,15.5,14.6,-2.5,140,412,114,39,474
vs Ipswich Town,26,10.0,2508,3574,70.2,45930,16915,1109,1318,84.1,1084,1350,80.3,264,735,35.9,4,5.4,5.7,-1.4,60,186,50,8,225
vs Leicester City,25,11.0,3410,4390,77.7,64966,24085,1327,1520,87.3,1651,1903,86.8,374,793,47.2,8,11.5,10.9,-3.5,93,287,66,20,354
vs Middlesbrough,23,11.0,4271,5330,80.1,77760,26318,1799,1985,90.6,2000,2282,87.6,401,814,49.3,6,7.3,8.0,-1.3,87,311,66,22,369
vs Millwall,27,11.0,3927,5216,75.3,70848,26192,1762,2006,87.8,1704,2063,82.6,389,924,42.1,9,9.4,9.7,-0.4,97,306,70,23,382
vs Norwich City,24,11.0,3619,4788,75.6,68412,27024,1517,1765,85.9,1587,1869,84.9,442,902,49.0,9,12.6,12.6,-3.6,121,309,94,32,398
vs Oxford United,26,11.0,4131,5342,77.3,76054,27773,1734,1990,87.1,1923,2255,85.3,403,840,48.0,8,9.9,11.0,-1.9,106,337,85,26,395
vs Portsmouth,26,11.0,3689,4952,74.5,68903,24689,1493,1688,88.4,1724,2050,84.1,412,982,42.0,10,12.0,10.3,-2.0,119,276,74,27,369
vs Preston,19,12.0,4038,5419,74.5,71097,27571,1838,2099,87.6,1679,2024,83.0,400,964,41.5,10,11.5,13.2,-1.5,103,322,94,26,394
vs QPR,25,11.0,3731,4976,75.0,73413,25341,1380,1604,86.0,1835,2163,84.8,461,1004,45.9,14,10.3,11.7,3.7,98,311,84,30,367
vs Sheffield Utd,27,12.0,3646,4970,73.4,66893,26002,1578,1840,85.8,1588,1923,82.6,406,944,43.0,13,10.4,9.7,2.6,108,300,96,26,428
vs Sheffield Weds,22,11.0,4020,5215,77.1,73249,27682,1694,1931,87.7,1844,2203,83.7,396,821,48.2,14,15.5,13.2,-1.5,127,326,104,32,435
vs Southampton,27,11.0,2931,3997,73.3,53753,22025,1325,1542,85.9,1173,1437,81.6,342,790,43.3,7,7.4,7.3,-0.4,78,228,49,15,270
vs Stoke City,19,11.0,3439,4578,75.1,60411,23242,1584,1790,88.5,1422,1733,82.1,338,800,42.3,6,10.6,10.3,-4.6,98,254,72,20,340
vs Swansea City,20,11.0,3489,4658,74.9,65617,25519,1461,1694,86.2,1586,1912,82.9,386,837,46.1,7,8.9,9.1,-1.9,103,304,77,27,350
vs Watford,28,11.0,3547,4702,75.4,63409,23575,1578,1804,87.5,1504,1825,82.4,359,789,45.5,6,9.8,10.8,-3.8,102,314,74,22,364
vs West Brom,25,11.0,4055,5157,78.6,76666,26043,1536,1751,87.7,1967,2258,87.1,462,923,50.1,10,8.5,9.4,1.5,89,365,65,31,383
vs Wrexham,23,11.0,4787,5931,80.7,85275,30502,2123,2371,89.5,2141,2455,87.2,441,860,51.3,11,14.4,15.4,-3.4,127,417,118,32,505
