Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
vs Birmingham City,25,26.8,11,990,90,100,11.0,121,82,71,50,15,49,1.36,14,11,3,0.27,11.5,15.2,-3.7,-0.33
vs Blackburn,23,26.3,10,900,90,100,10.0,110,82,68,41,20,49,2.2,16,8,8,0.8,11.4,12.4,-1.0,-0.1
vs Bristol City,21,26.4,11,990,90,100,11.0,121,83,70,51,22,48,0.91,11,19,-8,-0.73,13.7,17.0,-3.2,-0.29
vs Charlton Ath,21,26.2,11,990,90,100,11.0,121,83,69,51,22,48,1.09,9,13,-4,-0.36,12.7,12.0,0.7,0.06
vs Coventry City,22,26.7,11,990,90,100,11.0,121,84,71,50,19,49,0.36,8,31,-23,-2.09,9.3,25.5,-16.2,-1.47
vs Derby County,25,26.6,11,990,90,100,11.0,121,84,78,43,16,56,1.55,16,12,4,0.36,15.5,9.5,6.1,0.55
vs Hull City,26,26.4,11,990,90,100,11.0,121,81,71,50,18,49,1.09,19,19,0,0.0,21.4,14.9,6.5,0.59
vs Ipswich Town,26,26.5,10,900,90,100,10.0,110,82,65,45,16,45,1.3,13,16,-3,-0.3,11.2,18.3,-7.1,-0.71
vs Leicester City,25,27.0,11,990,90,100,11.0,121,80,72,48,16,50,1.0,11,15,-4,-0.36,15.5,13.1,2.4,0.22
vs Middlesbrough,23,26.2,11,990,90,100,11.0,121,82,74,46,21,53,0.55,7,15,-8,-0.73,10.0,12.3,-2.3,-0.21
vs Millwall,27,26.1,11,990,90,100,11.0,121,83,72,48,21,50,1.0,13,13,0,0.0,12.7,13.8,-1.1,-0.1
vs Norwich City,24,26.6,11,990,90,100,11.0,121,82,79,41,16,58,2.09,16,11,5,0.45,19.7,14.2,5.5,0.5
vs Oxford United,26,26.7,11,990,90,100,11.0,121,82,72,47,18,52,1.91,14,11,3,0.27,13.2,12.5,0.6,0.06
vs Portsmouth,26,26.3,11,990,90,100,11.0,121,82,71,50,19,48,1.45,12,10,2,0.18,15.5,12.2,3.2,0.29
vs Preston,19,26.6,12,1080,90,100,12.0,132,83,77,55,20,53,1.08,12,15,-3,-0.25,15.4,14.6,0.8,0.07
vs QPR,25,26.5,11,990,90,100,11.0,121,80,72,49,20,49,1.09,16,15,1,0.09,13.0,13.3,-0.2,-0.02
vs Sheffield Utd,27,26.2,12,1080,90,100,12.0,132,82,78,54,21,52,2.25,20,9,11,0.92,15.4,14.7,0.7,0.06
vs Sheffield Weds,22,26.8,11,990,90,100,11.0,121,84,72,49,23,50,2.18,23,9,14,1.27,21.5,12.3,9.1,0.83
vs Southampton,27,26.8,11,990,90,100,11.0,121,81,69,51,19,48,1.36,15,12,3,0.27,13.1,19.7,-6.6,-0.6
vs Stoke City,19,26.6,11,990,90,100,11.0,121,84,77,44,21,55,1.09,8,12,-4,-0.36,13.0,12.3,0.8,0.07
vs Swansea City,20,26.5,11,990,90,100,11.0,121,82,75,46,15,53,1.45,11,10,1,0.09,14.2,9.9,4.2,0.39
vs Watford,28,26.4,11,990,90,100,11.0,121,81,70,51,18,48,1.36,13,13,0,0.0,11.9,15.0,-3.1,-0.28
vs West Brom,25,26.8,11,990,90,100,11.0,121,84,75,46,22,52,1.27,13,12,1,0.09,11.8,11.7,0.0,0.0
vs Wrexham,23,26.2,11,990,90,100,11.0,121,83,75,46,17,53,1.45,16,15,1,0.09,17.5,13.8,3.6,0.33
