Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Birmingham City,25,44.9,11.0,5713,699,2062,2475,1235,184,5712,157,63,40.1,80,51.0,2537,12164,5516,105,78,27,193,76,3125,296
vs Blackburn,23,50.5,10.0,5597,591,1932,2478,1243,195,5595,190,80,42.1,101,53.2,2757,15994,7729,152,115,47,151,94,3296,287
vs Bristol City,21,53.0,11.0,6548,637,2079,3138,1395,230,6547,176,76,43.2,92,52.3,3498,17698,8485,151,119,47,186,85,3948,341
vs Charlton Ath,21,57.8,11.0,6457,782,2285,2683,1544,250,6457,155,71,45.8,80,51.6,3328,19191,9712,210,167,54,184,97,3712,371
vs Coventry City,22,47.6,11.0,5946,841,2327,2428,1240,188,5945,151,77,51.0,66,43.7,2756,14259,7038,144,93,48,181,76,3407,325
vs Derby County,25,56.7,11.0,6860,596,2074,3211,1638,278,6858,137,59,43.1,72,52.6,3762,18972,9356,187,142,45,163,94,4382,448
vs Hull City,26,55.6,11.0,6821,609,1856,3119,1901,315,6819,178,78,43.8,94,52.8,3491,18941,9357,206,138,56,202,92,4277,469
vs Ipswich Town,26,42.8,10.0,4728,687,1852,1906,1023,168,4726,96,46,47.9,43,44.8,2123,10002,4802,85,67,29,136,64,2492,222
vs Leicester City,25,42.8,11.0,5664,705,2029,2345,1351,229,5663,149,66,44.3,72,48.3,2966,15633,7572,147,91,40,152,79,3384,350
vs Middlesbrough,23,49.3,11.0,6636,712,2214,3047,1435,193,6635,178,76,42.7,86,48.3,3576,18053,9072,176,125,40,168,102,4238,365
vs Millwall,27,53.6,11.0,6594,745,2368,2774,1502,232,6594,173,72,41.6,90,52.0,3098,15941,7937,157,115,39,220,120,3895,378
vs Norwich City,24,47.1,11.0,6165,694,2114,2508,1612,266,6164,179,70,39.1,102,57.0,3003,15618,7887,177,122,43,177,92,3582,391
vs Oxford United,26,55.5,11.0,6760,722,2226,2960,1639,272,6759,199,85,42.7,100,50.3,3369,17248,8889,178,124,59,156,109,4098,392
vs Portsmouth,26,50.5,11.0,6310,790,2438,2504,1439,228,6310,143,72,50.3,62,43.4,3080,16415,7868,170,111,48,156,87,3659,368
vs Preston,19,53.0,12.0,6827,749,2320,2844,1737,268,6827,178,71,39.9,102,57.3,3537,19080,9523,195,129,59,178,106,3999,388
vs QPR,25,51.8,11.0,6286,705,2182,2754,1405,219,6286,141,64,45.4,71,50.4,3198,15318,7583,129,96,35,166,85,3702,365
vs Sheffield Utd,27,46.3,12.0,6524,875,2484,2603,1516,281,6523,159,77,48.4,69,43.4,3073,16947,8756,192,137,56,202,105,3613,419
vs Sheffield Weds,22,55.1,11.0,6570,641,1990,3012,1628,279,6569,171,75,43.9,77,45.0,3472,17823,9416,206,136,44,171,94,3985,431
vs Southampton,27,40.5,11.0,5262,713,1928,2222,1170,162,5261,134,58,43.3,62,46.3,2606,14143,6786,143,105,40,178,89,2900,268
vs Stoke City,19,47.2,11.0,5845,746,2178,2435,1295,220,5845,134,66,49.3,64,47.8,2896,15435,7825,180,126,50,166,90,3401,334
vs Swansea City,20,45.5,11.0,5919,617,1996,2521,1450,266,5919,163,64,39.3,87,53.4,2742,13697,6738,150,100,46,176,99,3453,344
vs Watford,28,49.1,11.0,5992,637,1877,2474,1697,205,5992,135,58,43.0,68,50.4,3151,15593,7636,148,133,28,155,87,3522,361
vs West Brom,25,47.2,11.0,6365,700,2114,2931,1362,173,6365,169,76,45.0,81,47.9,3473,16692,8020,131,109,21,149,75,4015,377
vs Wrexham,23,56.0,11.0,7192,667,2188,3311,1753,297,7192,198,90,45.5,96,48.5,4280,22595,11594,201,154,35,176,102,4746,502
