Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Birmingham City,25,55.1,11.0,6633,681,2291,2938,1465,211,6631,154,68,44.2,79,51.3,3253,17195,9565,180,119,38,170,87,4103,366
Blackburn,23,49.5,10.0,5523,582,1908,2278,1389,220,5523,142,62,43.7,69,48.6,2577,13923,6610,154,102,32,169,74,3120,321
Bristol City,21,47.0,11.0,5971,584,1864,2696,1471,263,5971,146,62,42.5,69,47.3,2983,14627,7407,163,125,45,153,98,3340,405
Charlton Ath,21,42.2,11.0,5050,627,1760,1906,1439,254,5050,126,53,42.1,65,51.6,2083,11162,5140,114,71,48,147,102,2377,296
Coventry City,22,52.4,11.0,6293,535,1704,2899,1749,344,6292,161,71,44.1,83,51.6,3132,16708,8905,190,116,62,195,82,3793,465
Derby County,25,43.3,11.0,5485,801,2155,2194,1194,172,5483,119,57,47.9,56,47.1,2384,12229,6298,118,93,25,156,91,2985,263
Hull City,26,44.4,11.0,5797,819,2265,2418,1177,227,5797,176,74,42.0,91,51.7,2886,15537,7746,143,112,49,171,65,3201,292
Ipswich Town,26,57.2,10.0,5928,640,1960,2559,1466,254,5924,163,66,40.5,77,47.2,3348,16965,8459,172,115,52,190,86,3709,391
Leicester City,25,57.2,11.0,7077,764,2277,3072,1795,242,7077,250,111,44.4,121,48.4,3871,22237,11240,227,154,57,171,91,4815,446
Middlesbrough,23,50.7,11.0,6666,684,2290,2838,1599,251,6666,193,88,45.6,95,49.2,3429,17235,8779,178,125,57,166,116,4308,381
Millwall,27,46.4,11.0,5862,657,1904,2547,1470,250,5862,137,61,44.5,68,49.6,2828,14060,6530,126,112,33,181,87,3065,369
Norwich City,24,52.9,11.0,6835,767,2486,3070,1347,226,6834,198,94,47.5,92,46.5,3785,18660,9084,171,120,42,190,86,4303,379
Oxford United,26,44.5,11.0,5696,670,2061,2430,1258,213,5696,155,68,43.9,74,47.7,2725,14387,6418,127,107,38,180,102,3022,298
Portsmouth,26,49.5,11.0,6062,729,2042,2589,1471,211,6061,132,50,37.9,73,55.3,2888,15641,7537,144,110,30,171,86,3432,356
Preston,19,47.0,12.0,6297,792,2314,2538,1512,239,6296,155,67,43.2,81,52.3,3003,15809,7694,171,126,31,190,101,3423,333
QPR,25,48.2,11.0,5982,704,2033,2526,1467,272,5981,134,50,37.3,78,58.2,2891,14947,7441,166,111,49,184,97,3387,375
Sheffield Utd,27,53.7,12.0,7183,728,2187,3139,1911,291,7182,185,68,36.8,107,57.8,3548,18003,9276,188,134,67,192,96,4324,390
Sheffield Weds,22,44.9,11.0,5679,736,2004,2404,1325,214,5679,152,70,46.1,69,45.4,2598,12601,6067,128,85,43,180,82,3030,314
Southampton,27,59.5,11.0,7138,620,2045,3360,1795,262,7137,167,81,48.5,76,45.5,4267,21834,10963,199,183,48,154,87,4789,486
Stoke City,19,52.8,11.0,6246,718,2040,2911,1369,198,6246,160,70,43.8,88,55.0,3554,18845,9472,187,124,37,179,88,3883,417
Swansea City,20,54.5,11.0,6877,780,2475,3043,1417,165,6876,152,67,44.1,74,48.7,3782,19387,9306,160,128,22,159,85,4418,359
Watford,28,50.9,11.0,6272,752,2390,2608,1349,214,6271,185,86,46.5,94,50.8,3165,17745,8845,170,117,47,190,110,3796,388
West Brom,25,52.8,11.0,7044,746,2523,3103,1491,222,7044,153,78,51.0,70,45.8,3791,19859,9685,186,145,47,142,111,4729,378
Wrexham,23,44.0,11.0,5985,744,2135,2617,1284,183,5984,148,68,45.9,68,45.9,3001,13856,6630,158,98,37,162,89,3479,324
