Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Birmingham City,25,11.0,12,101,34,33.7,9.18,3.09,0.11,0.32,15.4,3,1,1,11.5,10.8,0.11,0.5,0.2
vs Blackburn,23,10.0,15,115,41,35.7,11.5,4.1,0.11,0.32,18.3,5,2,2,11.4,9.8,0.09,3.6,3.2
vs Bristol City,21,11.0,11,131,42,32.1,11.91,3.82,0.08,0.24,16.2,0,1,1,13.7,12.9,0.1,-2.7,-2.9
vs Charlton Ath,21,11.0,9,156,31,19.9,14.18,2.82,0.06,0.29,18.4,6,0,0,12.7,12.7,0.08,-3.7,-3.7
vs Coventry City,22,11.0,8,123,31,25.2,11.18,2.82,0.06,0.23,18.3,5,1,1,9.3,8.5,0.07,-1.3,-1.5
vs Derby County,25,11.0,16,157,56,35.7,14.27,5.09,0.09,0.25,16.5,7,2,2,15.5,14.1,0.09,0.5,-0.1
vs Hull City,26,11.0,19,187,49,26.2,17.0,4.45,0.1,0.37,16.8,4,1,2,21.4,19.9,0.11,-2.4,-1.9
vs Ipswich Town,26,10.0,12,104,32,30.8,10.4,3.2,0.1,0.31,18.0,5,2,2,11.2,9.7,0.1,0.8,0.3
vs Leicester City,25,11.0,10,131,40,30.5,11.91,3.64,0.07,0.23,15.9,5,1,1,15.5,14.8,0.11,-5.5,-5.8
vs Middlesbrough,23,11.0,7,125,23,18.4,11.36,2.09,0.06,0.3,18.5,4,0,1,10.0,9.2,0.07,-3.0,-2.2
vs Millwall,27,11.0,13,138,34,24.6,12.55,3.09,0.09,0.38,16.6,5,0,0,12.7,12.7,0.1,0.3,0.3
vs Norwich City,24,11.0,16,171,47,27.5,15.55,4.27,0.09,0.34,17.2,4,0,1,19.7,18.9,0.12,-3.7,-2.9
vs Oxford United,26,11.0,14,142,45,31.7,12.91,4.09,0.1,0.31,16.7,4,0,0,13.2,13.2,0.09,0.8,0.8
vs Portsmouth,26,11.0,12,153,45,29.4,13.91,4.09,0.08,0.27,17.6,2,0,0,15.5,15.5,0.1,-3.5,-3.5
vs Preston,19,12.0,11,147,36,24.5,12.25,3.0,0.07,0.31,18.5,8,0,0,15.4,15.4,0.11,-4.4,-4.4
vs QPR,25,11.0,16,138,37,26.8,12.55,3.36,0.12,0.43,17.8,5,0,0,13.0,13.0,0.1,3.0,3.0
vs Sheffield Utd,27,12.0,19,158,53,33.5,13.17,4.42,0.12,0.36,17.7,4,0,1,15.4,14.6,0.09,3.6,4.4
vs Sheffield Weds,22,11.0,22,186,67,36.0,16.91,6.09,0.11,0.31,16.3,7,1,1,21.5,20.7,0.11,0.5,0.3
vs Southampton,27,11.0,14,109,29,26.6,9.91,2.64,0.12,0.45,17.5,6,1,1,13.1,12.3,0.12,0.9,0.7
vs Stoke City,19,11.0,8,124,41,33.1,11.27,3.73,0.06,0.2,15.8,2,0,0,13.0,13.0,0.11,-5.0,-5.0
vs Swansea City,20,11.0,11,148,45,30.4,13.45,4.09,0.07,0.24,16.5,4,0,0,14.2,14.2,0.1,-3.2,-3.2
vs Watford,28,11.0,12,139,47,33.8,12.64,4.27,0.09,0.26,17.4,5,0,0,11.9,11.9,0.09,0.1,0.1
vs West Brom,25,11.0,12,133,35,26.3,12.09,3.18,0.09,0.34,18.2,3,0,0,11.8,11.8,0.09,0.2,0.2
vs Wrexham,23,11.0,15,162,46,28.4,14.73,4.18,0.09,0.33,16.2,5,0,0,17.5,17.5,0.12,-2.5,-2.5
