Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Birmingham City,25,11.0,11,145,30,20.7,13.18,2.73,0.06,0.3,18.0,5,2,2,15.2,13.6,0.1,-4.2,-4.6
Blackburn,23,10.0,8,123,33,26.8,12.3,3.3,0.07,0.24,16.4,1,0,0,12.4,12.4,0.1,-4.4,-4.4
Bristol City,21,11.0,18,161,40,24.8,14.64,3.64,0.11,0.45,17.4,9,0,0,17.0,17.0,0.11,1.0,1.0
Charlton Ath,21,11.0,13,142,46,32.4,12.91,4.18,0.09,0.28,16.5,5,0,0,12.0,12.0,0.09,1.0,1.0
Coventry City,22,11.0,30,191,62,32.5,17.36,5.64,0.15,0.47,15.4,5,1,1,25.5,24.7,0.13,4.5,4.3
Derby County,25,11.0,12,86,26,30.2,7.82,2.36,0.12,0.38,17.1,4,2,2,9.5,8.0,0.1,2.5,2.0
Hull City,26,11.0,18,129,55,42.6,11.73,5.0,0.14,0.33,16.2,4,0,0,14.9,14.9,0.12,3.1,3.1
Ipswich Town,26,10.0,15,167,42,25.1,16.7,4.2,0.07,0.29,17.3,5,3,4,18.3,15.3,0.09,-3.3,-3.3
Leicester City,25,11.0,14,160,51,31.9,14.55,4.64,0.09,0.27,18.3,4,0,0,13.1,13.1,0.08,0.9,0.9
Middlesbrough,23,11.0,14,132,43,32.6,12.0,3.91,0.11,0.33,17.2,1,0,0,12.3,12.3,0.1,1.7,1.7
Millwall,27,11.0,13,143,38,26.6,13.0,3.45,0.09,0.34,17.1,2,0,0,13.8,13.8,0.1,-0.8,-0.8
Norwich City,24,11.0,11,134,37,27.6,12.18,3.36,0.07,0.27,17.5,5,1,1,14.2,13.4,0.1,-3.2,-3.4
Oxford United,26,11.0,9,149,39,26.2,13.55,3.55,0.06,0.23,18.2,6,0,0,12.5,12.5,0.09,-3.5,-3.5
Portsmouth,26,11.0,10,133,34,25.6,12.09,3.09,0.08,0.29,18.5,6,0,1,12.2,11.4,0.09,-2.2,-1.4
Preston,19,12.0,14,140,39,27.9,11.67,3.25,0.09,0.33,17.3,5,1,1,14.6,13.8,0.1,-0.6,-0.8
QPR,25,11.0,13,147,39,26.5,13.36,3.55,0.08,0.31,18.4,5,1,1,13.3,12.6,0.09,-0.3,-0.6
Sheffield Utd,27,12.0,8,140,30,21.4,11.67,2.5,0.06,0.27,17.3,5,0,1,14.7,13.9,0.11,-6.7,-5.9
Sheffield Weds,22,11.0,9,122,39,32.0,11.09,3.55,0.07,0.23,15.7,2,0,0,12.3,12.3,0.1,-3.3,-3.3
Southampton,27,11.0,12,164,54,32.9,14.91,4.91,0.07,0.22,16.0,9,0,1,19.7,18.9,0.13,-7.7,-6.9
Stoke City,19,11.0,12,138,44,31.9,12.55,4.0,0.09,0.27,17.0,3,0,0,12.3,12.3,0.09,-0.3,-0.3
Swansea City,20,11.0,10,111,34,30.6,10.09,3.09,0.08,0.26,18.1,3,1,1,9.9,9.1,0.08,0.1,-0.1
Watford,28,11.0,13,162,47,29.0,14.73,4.27,0.08,0.28,18.7,7,0,0,15.0,15.0,0.09,-2.0,-2.0
West Brom,25,11.0,12,139,39,28.1,12.64,3.55,0.09,0.31,16.6,4,0,0,11.7,11.7,0.09,0.3,0.3
Wrexham,23,11.0,15,120,45,37.5,10.91,4.09,0.12,0.31,15.9,3,1,1,13.8,13.0,0.11,1.2,1.0
