Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs Ajax,1,9.0,17,1,0,3,0,19.5,0.33,2.5,0.28,59,173,34.1,274,28,53.6,44.0,74,35.1,32.3,130,5,3.8,14,1.56,14.9
vs AZ Alkmaar,2,9.0,19,4,0,2,1,17.3,0.27,-0.7,-0.08,76,199,38.2,270,29,51.9,40.7,84,70.2,52.1,95,3,3.2,12,1.33,15.0
vs Excelsior,3,9.0,8,0,0,0,0,8.0,0.23,0.0,0.0,35,161,21.7,320,39,41.9,38.9,62,43.5,36.4,114,5,4.4,16,1.78,15.5
vs Feyenoord,1,9.0,25,1,1,3,0,21.4,0.35,-3.6,-0.4,66,186,35.5,308,32,46.1,39.1,95,46.3,40.5,140,6,4.3,15,1.67,16.6
vs Fortuna Sittard,1,9.0,13,1,0,2,0,11.6,0.3,-1.4,-0.16,40,147,27.2,226,27,50.4,40.5,63,52.4,43.8,112,6,5.4,14,1.56,15.2
vs Go Ahead Eag,1,9.0,15,0,0,4,1,14.8,0.32,0.8,0.09,63,190,33.2,325,38,46.2,38.8,78,51.3,41.1,191,5,2.6,17,1.89,14.0
vs Groningen,2,9.0,14,0,2,1,0,13.1,0.28,-0.9,-0.1,72,209,34.4,368,39,48.9,40.7,60,48.3,39.4,115,13,11.3,21,2.33,15.7
vs Heerenveen,2,10.0,18,2,0,1,1,17.7,0.37,0.7,0.07,82,235,34.9,379,39,50.1,40.7,88,51.1,41.6,162,9,5.6,14,1.4,15.0
vs Heracles Almelo,2,9.0,7,0,0,2,0,8.9,0.35,1.9,0.21,47,114,41.2,254,33,37.0,35.2,62,32.3,31.6,98,6,6.1,9,1.0,15.5
vs NAC Breda,2,10.0,13,2,0,3,0,13.6,0.3,0.6,0.06,48,156,30.8,325,46,41.5,36.9,55,38.2,35.2,139,10,7.2,18,1.8,16.5
vs NEC Nijmegen,1,9.0,25,2,0,4,2,22.3,0.33,-0.7,-0.08,93,260,35.8,356,34,62.9,46.5,63,57.1,44.9,145,8,5.5,9,1.0,12.3
vs PSV Eindhoven,1,9.0,27,0,1,4,1,21.9,0.33,-4.1,-0.46,71,215,33.0,311,45,59.8,46.0,87,33.3,29.9,127,9,7.1,3,0.33,10.4
vs Sparta R'dam,1,9.0,13,2,1,1,0,12.2,0.3,-0.8,-0.09,57,146,39.0,304,42,39.8,35.6,65,38.5,33.1,102,7,6.9,14,1.56,15.2
vs Telstar,1,9.0,12,0,0,3,0,14.5,0.29,2.5,0.28,57,150,38.0,288,47,41.7,38.0,71,42.3,38.2,141,8,5.7,16,1.78,14.3
vs Twente,1,9.0,17,4,0,1,0,18.6,0.28,1.6,0.17,82,213,38.5,312,34,51.0,40.0,91,59.3,42.7,130,12,9.2,9,1.0,12.4
vs Utrecht,2,9.0,18,0,0,4,0,14.8,0.31,-3.2,-0.36,66,201,32.8,359,32,47.6,40.8,65,46.2,38.6,147,9,6.1,16,1.78,17.1
vs Volendam,1,9.0,10,0,0,1,0,8.5,0.28,-1.5,-0.17,45,112,40.2,283,55,31.4,32.4,57,40.4,33.7,131,15,11.5,9,1.0,12.9
vs Zwolle,2,9.0,9,0,0,0,0,7.3,0.36,-1.7,-0.19,40,109,36.7,264,36,31.8,31.7,69,36.2,36.9,70,1,1.4,10,1.11,14.6
