Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Ajax,25,9.0,163,105,76,58,29,83,155,53.5,72,112,40,72,69,232,225,8
vs AZ Alkmaar,24,9.0,160,91,87,50,23,66,147,44.9,81,107,49,58,82,242,232,9
vs Excelsior,25,9.0,158,88,74,65,19,72,125,57.6,53,100,33,67,59,217,249,7
vs Feyenoord,25,9.0,156,91,87,51,18,83,179,46.4,96,100,44,56,74,230,294,8
vs Fortuna Sittard,21,9.0,142,88,63,58,21,66,108,61.1,42,100,39,61,63,205,243,3
vs Go Ahead Eag,21,9.0,114,76,41,54,19,51,92,55.4,41,77,25,52,78,192,294,6
vs Groningen,21,9.0,158,94,76,71,11,75,147,51.0,72,96,33,63,67,225,271,12
vs Heerenveen,22,10.0,147,91,79,58,10,82,165,49.7,83,126,52,74,84,231,336,7
vs Heracles Almelo,22,9.0,124,71,45,62,17,64,116,55.2,52,73,16,57,47,171,240,3
vs NAC Breda,22,10.0,179,112,63,88,28,88,151,58.3,63,122,36,86,63,242,305,2
vs NEC Nijmegen,24,9.0,152,95,77,59,16,69,146,47.3,77,95,34,61,66,218,312,5
vs PSV Eindhoven,24,9.0,148,79,64,60,24,84,185,45.4,101,126,46,80,83,231,231,7
vs Sparta R'dam,22,9.0,112,71,47,42,23,64,110,58.2,46,83,31,52,72,184,180,4
vs Telstar,22,9.0,135,76,69,51,15,64,118,54.2,54,98,33,65,72,207,250,4
vs Twente,23,9.0,149,93,85,46,18,80,147,54.4,67,136,40,96,98,247,308,3
vs Utrecht,26,9.0,166,100,78,71,17,76,136,55.9,60,100,37,63,75,241,263,6
vs Volendam,23,9.0,125,74,57,53,15,52,107,48.6,55,83,27,56,61,186,208,4
vs Zwolle,24,9.0,133,88,63,49,21,62,111,55.9,49,91,23,68,70,203,167,4
