Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Ajax,1,9,9,810,9.0,17,1.89,58,41,72.4,1,4,4,1,11.1,1,1,0,0,0.0
vs AZ Alkmaar,2,9,9,810,9.0,19,2.11,52,34,71.2,1,3,5,0,0.0,4,4,0,0,0.0
vs Excelsior,3,9,9,810,9.0,8,0.89,36,28,77.8,6,0,3,2,22.2,0,0,0,0,
vs Feyenoord,1,9,9,810,9.0,25,2.78,61,36,60.7,0,1,8,0,0.0,1,1,0,0,0.0
vs Fortuna Sittard,1,9,9,810,9.0,13,1.44,36,23,66.7,4,1,4,2,22.2,1,1,0,0,0.0
vs Go Ahead Eag,1,9,9,810,9.0,15,1.67,46,31,67.4,3,4,2,1,11.1,1,0,1,0,100.0
vs Groningen,2,9,9,810,9.0,14,1.56,49,35,71.4,4,0,5,2,22.2,0,0,0,0,
vs Heerenveen,2,10,10,900,10.0,18,1.8,45,28,64.4,3,4,3,1,10.0,2,2,0,0,0.0
vs Heracles Almelo,2,9,9,810,9.0,7,0.78,27,20,74.1,8,0,1,4,44.4,0,0,0,0,
vs NAC Breda,2,10,10,900,10.0,13,1.3,43,30,74.4,5,3,2,3,30.0,3,2,0,1,0.0
vs NEC Nijmegen,1,9,9,810,9.0,25,2.78,63,40,63.5,3,2,4,0,0.0,3,2,0,1,0.0
vs PSV Eindhoven,1,9,9,810,9.0,27,3.0,68,42,60.3,1,1,7,1,11.1,0,0,0,0,
vs Sparta R'dam,1,9,9,810,9.0,13,1.44,36,23,69.4,4,1,4,2,22.2,2,2,0,0,0.0
vs Telstar,1,9,9,810,9.0,12,1.33,51,39,76.5,6,1,2,3,33.3,0,0,0,0,
vs Twente,1,9,9,810,9.0,17,1.89,59,42,78.0,3,2,4,3,33.3,4,4,0,0,0.0
vs Utrecht,2,9,9,810,9.0,18,2.0,50,32,64.0,4,1,4,2,22.2,0,0,0,0,
vs Volendam,1,9,9,810,9.0,10,1.11,30,20,66.7,4,4,1,2,22.2,0,0,0,0,
vs Zwolle,2,9,9,810,9.0,9,1.0,20,11,55.0,5,2,2,3,33.3,0,0,0,0,
