Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Ajax,1,9,9,810,9.0,12,1.33,38,26,76.3,4,4,1,2,22.2,3,3,0,0,0.0
AZ Alkmaar,2,9,9,810,9.0,12,1.33,44,32,75.0,5,3,1,2,22.2,2,1,0,1,0.0
Excelsior,3,9,9,810,9.0,17,1.89,64,47,76.6,3,0,6,2,22.2,2,2,0,0,0.0
Feyenoord,1,9,9,810,9.0,6,0.67,19,13,73.7,8,1,0,6,66.7,1,1,0,0,0.0
Fortuna Sittard,1,9,9,810,9.0,13,1.44,44,32,72.7,4,1,4,2,22.2,1,1,0,0,0.0
Go Ahead Eag,1,9,9,810,9.0,16,1.78,54,39,70.4,2,4,3,2,22.2,0,0,0,0,
Groningen,2,9,9,810,9.0,13,1.44,34,22,64.7,5,0,4,3,33.3,1,1,0,0,0.0
Heerenveen,2,10,10,900,10.0,18,1.8,45,27,60.0,3,4,3,0,0.0,0,0,0,0,
Heracles Almelo,2,9,9,810,9.0,27,3.0,68,41,60.3,1,0,8,1,11.1,0,0,0,0,
NAC Breda,2,10,10,900,10.0,19,1.9,58,40,70.7,2,3,5,0,0.0,2,2,0,0,0.0
NEC Nijmegen,1,9,9,810,9.0,17,1.89,43,26,67.4,4,2,3,2,22.2,3,3,0,0,0.0
PSV Eindhoven,1,9,9,810,9.0,12,1.33,37,25,70.3,7,1,1,2,22.2,2,1,0,1,0.0
Sparta R'dam,1,9,9,810,9.0,22,2.44,56,33,60.7,4,1,4,3,33.3,1,0,1,0,100.0
Telstar,1,9,9,810,9.0,18,2.0,52,34,69.2,2,1,6,1,11.1,2,2,0,0,0.0
Twente,1,9,9,810,9.0,14,1.56,27,15,48.1,4,2,3,0,0.0,0,0,0,0,
Utrecht,2,9,9,810,9.0,11,1.22,38,27,73.7,4,1,4,2,22.2,1,1,0,0,0.0
Volendam,1,9,9,810,9.0,16,1.78,52,36,69.2,1,4,4,0,0.0,0,0,0,0,
Zwolle,2,9,9,810,9.0,17,1.89,57,40,71.9,2,2,5,2,22.2,1,1,0,0,0.0
