Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Ajax,25,9.0,15,1,1,115,100,14,141,69,105,1,1,0,343,80,107,42.8
vs AZ Alkmaar,24,9.0,18,2,1,101,102,11,150,82,91,1,4,1,368,121,96,55.8
vs Excelsior,25,9.0,13,0,0,87,119,18,175,59,88,2,0,0,395,159,135,54.1
vs Feyenoord,25,9.0,12,3,2,101,80,11,112,74,91,1,1,0,363,129,157,45.1
vs Fortuna Sittard,21,9.0,11,1,0,94,120,13,190,63,88,1,1,0,410,150,151,49.8
vs Go Ahead Eag,21,9.0,19,2,1,91,82,5,180,78,76,0,1,1,350,119,104,53.4
vs Groningen,21,9.0,15,0,0,100,108,12,132,67,94,1,0,0,396,191,134,58.8
vs Heerenveen,22,10.0,18,2,0,123,101,14,171,84,91,0,2,1,416,178,173,50.7
vs Heracles Almelo,22,9.0,17,1,0,93,105,14,204,47,71,0,0,0,335,140,174,44.6
vs NAC Breda,22,10.0,22,0,0,134,121,11,150,63,112,2,3,0,435,147,175,45.7
vs NEC Nijmegen,24,9.0,28,2,1,135,105,11,128,66,95,1,3,2,340,150,151,49.8
vs PSV Eindhoven,24,9.0,13,1,0,78,94,14,142,83,79,2,0,1,371,86,126,40.6
vs Sparta R'dam,22,9.0,19,1,1,83,67,18,221,72,71,0,2,0,403,126,160,44.1
vs Telstar,22,9.0,10,0,0,94,99,13,182,72,76,1,0,0,379,117,104,52.9
vs Twente,23,9.0,18,2,1,109,114,19,131,98,93,0,4,0,382,160,138,53.7
vs Utrecht,26,9.0,17,0,0,113,87,8,107,75,100,0,0,0,354,140,157,47.1
vs Volendam,23,9.0,18,0,0,112,97,12,205,61,74,0,0,0,357,107,92,53.8
vs Zwolle,24,9.0,15,0,0,106,91,11,202,70,88,1,0,0,401,111,77,59.0
