Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Ajax,25,9.0,21,0,0,110,111,18,163,79,86,1,3,0,347,107,80,57.2
AZ Alkmaar,24,9.0,31,1,1,108,97,8,131,56,83,4,2,0,382,96,121,44.2
Excelsior,25,9.0,12,2,1,124,83,5,149,80,82,0,2,0,400,135,159,45.9
Feyenoord,25,9.0,17,2,1,84,99,14,184,61,95,0,1,0,400,157,129,54.9
Fortuna Sittard,21,9.0,20,0,0,124,90,16,146,101,101,0,1,1,377,151,150,50.2
Go Ahead Eag,21,9.0,9,1,0,86,85,14,239,59,60,0,0,1,320,104,119,46.6
Groningen,21,9.0,21,1,1,111,94,15,146,64,95,0,1,1,369,134,191,41.2
Heerenveen,22,10.0,19,2,2,103,117,14,202,64,87,1,0,0,446,173,178,49.3
Heracles Almelo,22,9.0,15,1,0,110,88,6,138,64,82,0,0,0,313,174,140,55.4
NAC Breda,22,10.0,16,2,1,124,129,18,175,67,107,2,2,1,423,175,147,54.3
NEC Nijmegen,24,9.0,17,2,1,118,132,19,185,54,105,3,3,0,383,151,150,50.2
PSV Eindhoven,24,9.0,15,0,0,96,73,12,166,75,100,0,2,0,425,126,86,59.4
Sparta R'dam,22,9.0,13,1,0,68,78,9,121,72,82,0,1,0,351,160,126,55.9
Telstar,22,9.0,16,0,0,105,90,15,169,70,87,0,2,0,404,104,117,47.1
Twente,23,9.0,14,1,0,116,105,8,171,68,101,3,0,2,394,138,160,46.3
Utrecht,26,9.0,10,0,0,89,109,11,179,71,70,0,1,0,375,157,140,52.9
Volendam,23,9.0,13,0,0,99,108,12,167,79,84,0,0,0,322,92,107,46.2
Zwolle,24,9.0,19,2,0,94,104,15,92,99,76,0,1,0,367,77,111,41.0
