Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Ajax,25,9.0,3698,3290,394,119,18,13,141,129,46,27,19,0,2918,14,59
vs AZ Alkmaar,24,9.0,3612,3203,398,110,8,21,150,142,37,28,3,0,2803,11,78
vs Excelsior,25,9.0,4683,4239,426,124,18,35,175,181,42,23,9,0,3753,18,86
vs Feyenoord,25,9.0,3616,3194,411,93,4,22,112,164,25,14,9,0,2737,11,73
vs Fortuna Sittard,21,9.0,4182,3696,473,135,9,24,190,195,59,26,26,0,3237,13,83
vs Go Ahead Eag,21,9.0,3953,3580,368,96,3,17,180,122,49,28,12,0,3152,5,39
vs Groningen,21,9.0,4068,3620,436,122,13,21,132,188,43,23,8,0,3108,12,81
vs Heerenveen,22,10.0,4252,3753,485,112,11,23,171,211,47,31,11,0,3189,14,85
vs Heracles Almelo,22,9.0,4778,4351,413,110,9,22,204,163,62,31,12,0,3933,14,79
vs NAC Breda,22,10.0,4684,4255,418,133,8,18,150,167,40,17,7,1,3742,11,89
vs NEC Nijmegen,24,9.0,3130,2689,430,130,6,17,128,166,37,25,7,0,2209,11,61
vs PSV Eindhoven,24,9.0,3400,2972,414,100,9,14,142,150,41,17,19,0,2531,14,90
vs Sparta R'dam,22,9.0,5032,4621,393,74,12,36,221,168,64,29,24,0,4125,18,88
vs Telstar,22,9.0,4538,4118,407,115,10,31,182,149,52,32,8,0,3702,13,73
vs Twente,23,9.0,3694,3225,450,119,6,36,131,183,31,17,8,0,2752,19,74
vs Utrecht,26,9.0,3929,3547,374,95,18,19,107,151,37,14,14,0,3103,8,57
vs Volendam,23,9.0,4702,4295,395,107,10,18,205,156,56,24,16,0,3846,12,82
vs Zwolle,24,9.0,4978,4543,424,102,12,33,202,185,50,19,15,0,4075,11,89
