Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Ajax,25,9.0,5205,4789,398,123,12,27,163,146,57,37,3,0,4447,18,84
AZ Alkmaar,24,9.0,4460,4063,389,102,11,27,131,145,53,16,17,0,3678,8,66
Excelsior,25,9.0,3583,3168,410,99,10,17,149,167,33,16,11,0,2618,5,77
Feyenoord,25,9.0,4408,3969,425,107,19,16,184,176,72,52,12,0,3570,14,70
Fortuna Sittard,21,9.0,3875,3472,387,103,2,14,146,158,32,7,15,0,2939,16,66
Go Ahead Eag,21,9.0,4338,3902,422,91,7,23,239,169,59,42,7,0,3468,14,65
Groningen,21,9.0,3971,3539,417,104,11,23,146,186,41,23,7,0,3030,15,73
Heerenveen,22,10.0,4756,4273,469,131,8,31,202,176,61,30,8,0,3666,14,81
Heracles Almelo,22,9.0,3284,2887,391,102,6,14,138,147,31,14,11,0,2465,6,69
NAC Breda,22,10.0,4297,3788,491,136,4,15,175,204,45,23,17,0,3263,18,96
NEC Nijmegen,24,9.0,4372,3916,437,138,7,21,185,188,47,25,12,1,3412,19,78
PSV Eindhoven,24,9.0,5374,4974,388,89,17,23,166,161,59,31,14,0,4544,12,91
Sparta R'dam,22,9.0,3432,3050,373,97,13,25,121,121,29,16,10,0,2618,9,59
Telstar,22,9.0,3597,3165,417,105,10,27,169,162,54,28,18,0,2732,15,71
Twente,23,9.0,4398,3935,455,120,9,44,171,212,41,25,8,0,3389,8,107
Utrecht,26,9.0,4359,3916,432,117,19,27,179,181,51,16,32,0,3484,11,77
Volendam,23,9.0,3527,3100,415,121,7,21,167,139,32,13,17,0,2708,12,64
Zwolle,24,9.0,3693,3285,393,111,12,25,92,132,21,11,8,0,2884,15,72
