Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
vs Ajax,25,9.0,2918,3698,78.9,53432,19473,1232,1405,87.7,1288,1475,87.3,316,625,50.6,6,8.6,8.7,-2.6,78,244,60,13,267
vs AZ Alkmaar,24,9.0,2803,3612,77.6,52789,20190,1198,1375,87.1,1243,1444,86.1,315,621,50.7,10,6.8,8.8,3.2,82,255,66,16,328
vs Excelsior,25,9.0,3753,4683,80.1,69361,23956,1486,1675,88.7,1816,2052,88.5,385,743,51.8,11,13.4,13.6,-2.4,116,313,100,20,457
vs Feyenoord,25,9.0,2737,3616,75.7,52313,20036,1067,1254,85.1,1262,1516,83.2,333,644,51.7,5,3.2,6.4,1.8,51,201,41,7,253
vs Fortuna Sittard,21,9.0,3237,4182,77.4,59151,22169,1335,1539,86.7,1450,1710,84.8,356,689,51.7,9,12.1,12.5,-3.1,95,317,87,21,412
vs Go Ahead Eag,21,9.0,3152,3953,79.7,57337,20730,1360,1512,89.9,1423,1670,85.2,309,638,48.4,8,12.0,12.1,-4.0,134,253,89,25,343
vs Groningen,21,9.0,3108,4068,76.4,59236,22518,1246,1467,84.9,1443,1688,85.5,374,731,51.2,8,8.9,7.9,-0.9,88,238,64,20,289
vs Heerenveen,22,10.0,3189,4252,75.0,62645,24267,1194,1402,85.2,1450,1733,83.7,457,894,51.1,12,9.8,9.5,2.2,77,277,63,16,291
vs Heracles Almelo,22,9.0,3933,4778,82.3,69824,24410,1698,1899,89.4,1792,2024,88.5,358,620,57.7,17,15.3,18.2,1.7,139,353,102,22,450
vs NAC Breda,22,10.0,3742,4684,79.9,65805,23958,1649,1870,88.2,1642,1886,87.1,346,666,52.0,11,15.9,17.9,-4.9,111,297,115,22,396
vs NEC Nijmegen,24,9.0,2209,3130,70.6,46241,19950,764,941,81.2,1011,1232,82.1,370,765,48.4,11,8.0,8.2,3.0,73,199,58,18,208
vs PSV Eindhoven,24,9.0,2531,3400,74.4,46586,19427,1076,1246,86.4,1068,1277,83.6,302,647,46.7,7,6.9,5.9,0.1,68,218,49,11,264
vs Sparta R'dam,22,9.0,4125,5032,82.0,73839,26533,1808,1994,90.7,1828,2099,87.1,414,720,57.5,15,12.6,17.4,2.4,124,428,119,22,484
vs Telstar,22,9.0,3702,4538,81.6,66395,24908,1629,1807,90.1,1612,1822,88.5,363,669,54.3,12,13.8,13.4,-1.8,109,335,96,22,420
vs Twente,23,9.0,2752,3694,74.5,51621,19783,1168,1382,84.5,1154,1395,82.7,358,707,50.6,11,7.0,9.6,4.0,71,228,54,19,282
vs Utrecht,26,9.0,3103,3929,79.0,59055,21159,1169,1356,86.2,1538,1754,87.7,342,665,51.4,7,7.9,8.0,-0.9,73,225,61,9,268
vs Volendam,23,9.0,3846,4702,81.8,68012,24742,1748,1953,89.5,1610,1841,87.5,395,680,58.1,13,11.8,14.4,1.2,116,341,107,23,412
vs Zwolle,24,9.0,4075,4978,81.9,72865,24892,1723,1918,89.8,1911,2176,87.8,357,652,54.8,15,14.0,16.4,1.0,116,387,105,19,457
