Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
vs Ajax,25,25.2,9,810,90,100,9.0,99,80,59,39,18,63,0.78,12,17,-5,-0.56,12.6,17.3,-4.7,-0.52
vs AZ Alkmaar,24,25.1,9,810,90,100,9.0,99,82,55,42,20,60,0.67,12,19,-7,-0.78,11.5,18.7,-7.2,-0.8
vs Excelsior,25,26.0,9,810,90,100,9.0,99,80,57,42,21,55,2.0,17,8,9,1.0,18.0,10.8,7.2,0.8
vs Feyenoord,25,25.5,9,810,90,100,9.0,99,80,58,42,25,54,0.11,6,25,-19,-2.11,6.2,19.3,-13.1,-1.46
vs Fortuna Sittard,21,25.8,9,810,90,100,9.0,99,79,61,38,21,62,1.44,13,13,0,0.0,14.5,10.2,4.3,0.48
vs Go Ahead Eag,21,26.2,9,810,90,100,9.0,99,80,63,35,19,65,1.44,16,15,1,0.11,16.8,13.3,3.4,0.38
vs Groningen,21,25.6,9,810,90,100,9.0,99,84,59,40,21,61,1.33,13,14,-1,-0.11,11.4,12.4,-1.0,-0.12
vs Heerenveen,22,25.9,10,900,90,100,10.0,110,85,64,44,24,70,1.3,18,18,0,0.0,12.7,20.4,-7.7,-0.77
vs Heracles Almelo,22,25.7,9,810,90,100,9.0,99,79,54,44,21,61,2.67,27,7,20,2.22,20.6,6.7,14.0,1.55
vs NAC Breda,22,25.3,10,900,90,100,10.0,110,83,62,48,20,68,1.8,19,13,6,0.6,19.7,13.6,6.1,0.61
vs NEC Nijmegen,24,25.7,9,810,90,100,9.0,99,82,53,44,21,49,1.22,17,25,-8,-0.89,12.8,17.6,-4.8,-0.54
vs PSV Eindhoven,24,25.8,9,810,90,100,9.0,99,81,59,40,20,63,0.44,12,27,-15,-1.67,12.1,22.0,-9.9,-1.1
vs Sparta R'dam,22,25.6,9,810,90,100,9.0,99,84,53,45,22,59,1.44,22,13,9,1.0,16.2,12.1,4.1,0.46
vs Telstar,22,25.2,9,810,90,100,9.0,99,81,58,41,19,59,2.11,18,12,6,0.67,17.7,13.7,4.0,0.45
vs Twente,23,26.2,9,810,90,100,9.0,99,80,59,38,19,60,1.22,14,17,-3,-0.33,8.6,17.0,-8.4,-0.93
vs Utrecht,26,25.4,9,810,90,100,9.0,99,79,61,38,23,58,1.44,11,18,-7,-0.78,12.6,13.7,-1.1,-0.12
vs Volendam,23,25.7,9,810,90,100,9.0,99,80,59,41,22,59,1.78,16,10,6,0.67,15.0,8.4,6.6,0.73
vs Zwolle,24,25.7,9,810,90,100,9.0,99,80,55,44,21,61,1.89,17,9,8,0.89,16.7,8.6,8.1,0.91
