Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Ajax,25,41.9,9.0,4711,669,1659,1948,1158,186,4708,112,42,37.5,65,58.0,2554,14247,7405,154,101,43,115,73,2885,262
vs AZ Alkmaar,24,44.8,9.0,4713,656,1602,2028,1144,187,4711,141,69,48.9,64,45.4,2502,13934,6559,126,92,28,132,81,2777,325
vs Excelsior,25,56.6,9.0,5790,638,1828,2530,1486,265,5788,149,76,51.0,64,43.0,3567,19101,9507,193,138,48,145,74,3726,456
vs Feyenoord,25,45.0,9.0,4665,746,1941,1852,931,126,4664,121,47,38.8,63,52.1,2468,14288,6941,128,105,26,131,87,2701,246
vs Fortuna Sittard,21,51.7,9.0,5283,501,1502,2385,1442,239,5282,163,69,42.3,81,49.7,2790,15268,8030,171,116,52,153,91,3213,408
vs Go Ahead Eag,21,47.7,9.0,4998,700,1781,1858,1406,279,4998,108,57,52.8,42,38.9,2880,16813,8951,198,114,67,123,53,3095,341
vs Groningen,21,50.6,9.0,5221,651,1938,2338,1003,174,5220,189,80,42.3,93,49.2,2695,14124,6825,137,88,37,161,72,3060,286
vs Heerenveen,22,47.4,10.0,5481,816,2177,2230,1128,181,5481,119,61,51.3,45,37.8,2606,13822,6643,122,91,36,171,83,3142,284
vs Heracles Almelo,22,58.8,9.0,5839,526,1627,2502,1749,314,5839,147,61,41.5,70,47.6,3059,16022,8325,181,110,67,142,65,3895,446
vs NAC Breda,22,52.4,10.0,5955,658,1800,2639,1573,261,5953,163,71,43.6,84,51.5,3288,18903,9747,197,162,46,154,84,3684,390
vs NEC Nijmegen,24,41.9,9.0,4254,714,1880,1557,857,176,4251,153,60,39.2,85,55.6,2065,10111,4429,86,63,36,128,73,2177,206
vs PSV Eindhoven,24,39.1,9.0,4484,727,1729,1698,1101,169,4482,156,66,42.3,82,52.6,2391,11907,5444,116,88,33,147,70,2498,260
vs Sparta R'dam,22,59.4,9.0,6007,528,1588,2642,1838,314,6006,161,90,55.9,64,39.8,3567,20680,11349,232,147,62,137,78,4094,483
vs Telstar,22,55.6,9.0,5638,599,1709,2507,1477,288,5636,151,68,45.0,79,52.3,3228,17151,9009,194,118,65,142,69,3655,416
vs Twente,23,45.7,9.0,4907,713,1774,2127,1057,150,4907,167,71,42.5,91,54.5,2492,14266,7116,133,91,38,151,77,2714,278
vs Utrecht,26,47.9,9.0,5041,674,1849,2218,1016,168,5040,144,63,43.8,70,48.6,2754,14439,6940,134,98,28,165,69,3054,261
vs Volendam,23,56.9,9.0,5686,544,1648,2379,1719,299,5686,143,54,37.8,76,53.1,3588,19737,10776,205,172,62,121,71,3803,409
vs Zwolle,24,56.9,9.0,5906,543,1593,2545,1829,276,5905,128,60,46.9,63,49.2,3375,18823,10407,187,131,46,116,69,4033,455
