Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Ajax,25,9.0,12,107,35,32.7,11.89,3.89,0.08,0.26,18.8,5,3,3,12.6,10.2,0.1,-0.6,-1.2
vs AZ Alkmaar,24,9.0,12,119,43,36.1,13.22,4.78,0.09,0.26,18.2,5,1,2,11.5,9.9,0.09,0.5,1.1
vs Excelsior,25,9.0,17,157,62,39.5,17.44,6.89,0.1,0.24,17.0,3,2,2,18.0,16.4,0.11,-1.0,-1.4
vs Feyenoord,25,9.0,6,72,18,25.0,8.0,2.0,0.07,0.28,19.7,1,1,1,6.2,5.5,0.08,-0.2,-0.5
vs Fortuna Sittard,21,9.0,12,121,43,35.5,13.44,4.78,0.09,0.26,15.5,3,1,1,14.5,13.8,0.12,-2.5,-2.8
vs Go Ahead Eag,21,9.0,15,178,54,30.3,19.78,6.0,0.08,0.28,16.5,2,0,0,16.8,16.8,0.1,-1.8,-1.8
vs Groningen,21,9.0,12,107,33,30.8,11.89,3.67,0.1,0.33,15.8,2,1,1,11.4,10.6,0.1,0.6,0.4
vs Heerenveen,22,10.0,18,106,45,42.5,10.6,4.5,0.17,0.4,16.5,2,0,0,12.7,12.7,0.13,5.3,5.3
vs Heracles Almelo,22,9.0,27,186,68,36.6,20.67,7.56,0.15,0.4,16.3,6,0,0,20.6,20.6,0.11,6.4,6.4
vs NAC Breda,22,10.0,18,147,56,38.1,14.7,5.6,0.11,0.29,17.3,6,2,2,19.7,18.3,0.13,-1.7,-2.3
vs NEC Nijmegen,24,9.0,17,93,40,43.0,10.33,4.44,0.15,0.35,16.9,2,3,3,12.8,10.5,0.11,4.2,3.5
vs PSV Eindhoven,24,9.0,12,111,36,32.4,12.33,4.0,0.1,0.31,19.5,6,1,2,12.1,10.5,0.1,-0.1,0.5
vs Sparta R'dam,22,9.0,22,166,55,33.1,18.44,6.11,0.13,0.4,17.0,0,0,1,16.2,15.4,0.1,5.8,6.6
vs Telstar,22,9.0,18,138,50,36.2,15.33,5.56,0.12,0.32,16.4,3,2,2,17.7,16.2,0.12,0.3,-0.2
vs Twente,23,9.0,12,88,27,30.7,9.78,3.0,0.14,0.44,17.4,3,0,0,8.6,8.6,0.1,3.4,3.4
vs Utrecht,26,9.0,11,97,37,38.1,10.78,4.11,0.1,0.27,17.1,4,1,1,12.6,11.8,0.13,-1.6,-1.8
vs Volendam,23,9.0,16,154,52,33.8,17.11,5.78,0.1,0.31,16.6,4,0,0,15.0,15.0,0.1,1.0,1.0
vs Zwolle,24,9.0,17,152,56,36.8,16.89,6.22,0.11,0.29,17.7,4,1,1,16.7,16.0,0.11,0.3,0.0
