Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Ajax,25,25.2,41.9,9,99,810,9.0,12,6,18,9,3,3,15,1,12.6,10.2,8.6,18.7,154,267,1.33,0.67,2.0,1.0,1.67,1.39,0.95,2.35,1.13,2.08
vs AZ Alkmaar,24,25.1,44.8,9,99,810,9.0,12,10,22,11,1,2,18,2,11.5,9.9,6.8,16.7,126,328,1.33,1.11,2.44,1.22,2.33,1.28,0.75,2.03,1.1,1.85
vs Excelsior,25,26.0,56.6,9,99,810,9.0,17,11,28,15,2,2,13,0,18.0,16.4,13.4,29.9,193,457,1.89,1.22,3.11,1.67,2.89,2.0,1.49,3.49,1.82,3.32
vs Feyenoord,25,25.5,45.0,9,99,810,9.0,6,5,11,5,1,1,12,3,6.2,5.5,3.2,8.7,128,253,0.67,0.56,1.22,0.56,1.11,0.69,0.36,1.04,0.61,0.97
vs Fortuna Sittard,21,25.8,51.7,9,99,810,9.0,12,9,21,11,1,1,11,1,14.5,13.8,12.1,25.8,171,412,1.33,1.0,2.33,1.22,2.22,1.62,1.34,2.96,1.53,2.87
vs Go Ahead Eag,21,26.2,47.7,9,99,810,9.0,15,8,23,15,0,0,19,2,16.8,16.8,12.0,28.8,198,343,1.67,0.89,2.56,1.67,2.56,1.86,1.34,3.2,1.86,3.2
vs Groningen,21,25.6,50.6,9,99,810,9.0,12,8,20,11,1,1,15,0,11.4,10.6,8.9,19.5,137,289,1.33,0.89,2.22,1.22,2.11,1.26,0.99,2.25,1.18,2.16
vs Heerenveen,22,25.9,47.4,10,110,900,10.0,18,12,30,18,0,0,18,2,12.7,12.7,9.8,22.5,122,291,1.8,1.2,3.0,1.8,3.0,1.27,0.98,2.25,1.27,2.25
vs Heracles Almelo,22,25.7,58.8,9,99,810,9.0,27,17,44,27,0,0,17,1,20.6,20.6,15.3,36.0,181,450,3.0,1.89,4.89,3.0,4.89,2.29,1.7,4.0,2.29,4.0
vs NAC Breda,22,25.3,52.4,10,110,900,10.0,18,11,29,16,2,2,22,0,19.7,18.3,15.9,34.2,197,396,1.8,1.1,2.9,1.6,2.7,1.97,1.59,3.56,1.83,3.42
vs NEC Nijmegen,24,25.7,41.9,9,99,810,9.0,17,11,28,14,3,3,28,2,12.8,10.5,8.0,18.5,86,208,1.89,1.22,3.11,1.56,2.78,1.42,0.89,2.31,1.16,2.05
vs PSV Eindhoven,24,25.8,39.1,9,99,810,9.0,12,7,19,11,1,2,13,1,12.1,10.5,6.9,17.4,116,264,1.33,0.78,2.11,1.22,2.0,1.35,0.76,2.11,1.17,1.93
vs Sparta R'dam,22,25.6,59.4,9,99,810,9.0,22,15,37,22,0,1,19,1,16.2,15.4,12.6,28.0,232,484,2.44,1.67,4.11,2.44,4.11,1.81,1.4,3.2,1.72,3.11
vs Telstar,22,25.2,55.6,9,99,810,9.0,18,12,30,16,2,2,10,0,17.7,16.2,13.8,30.0,194,420,2.0,1.33,3.33,1.78,3.11,1.97,1.53,3.5,1.8,3.33
vs Twente,23,26.2,45.7,9,99,810,9.0,12,11,23,12,0,0,18,2,8.6,8.6,7.0,15.6,133,282,1.33,1.22,2.56,1.33,2.56,0.95,0.77,1.73,0.95,1.73
vs Utrecht,26,25.4,47.9,9,99,810,9.0,11,7,18,10,1,1,17,0,12.6,11.8,7.9,19.8,134,268,1.22,0.78,2.0,1.11,1.89,1.4,0.88,2.28,1.32,2.2
vs Volendam,23,25.7,56.9,9,99,810,9.0,16,13,29,16,0,0,18,0,15.0,15.0,11.8,26.7,205,412,1.78,1.44,3.22,1.78,3.22,1.66,1.31,2.97,1.66,2.97
vs Zwolle,24,25.7,56.9,9,99,810,9.0,17,15,32,16,1,1,15,0,16.7,16.0,14.0,30.0,187,457,1.89,1.67,3.56,1.78,3.44,1.86,1.55,3.41,1.78,3.33
