Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Ajax,25,25.4,58.1,9,99,810,9.0,17,11,28,16,1,1,21,0,17.3,16.5,13.7,30.2,200,440,1.89,1.22,3.11,1.78,3.0,1.92,1.52,3.44,1.83,3.35
AZ Alkmaar,24,23.8,55.2,9,99,810,9.0,18,10,28,14,4,4,31,1,18.7,15.6,12.2,27.8,192,390,2.0,1.11,3.11,1.56,2.67,2.08,1.35,3.43,1.74,3.09
Excelsior,25,24.5,43.4,9,99,810,9.0,8,5,13,8,0,0,12,2,10.8,10.8,7.3,18.1,124,290,0.89,0.56,1.44,0.89,1.44,1.2,0.81,2.01,1.2,2.01
Feyenoord,25,24.9,55.0,9,99,810,9.0,25,13,38,24,1,1,17,2,19.3,18.5,14.3,32.8,241,433,2.78,1.44,4.22,2.67,4.11,2.14,1.58,3.73,2.06,3.64
Fortuna Sittard,21,26.7,48.3,9,99,810,9.0,13,9,22,12,1,1,20,0,10.2,9.4,6.0,15.4,161,244,1.44,1.0,2.44,1.33,2.33,1.13,0.66,1.79,1.05,1.71
Go Ahead Eag,21,26.4,52.3,9,99,810,9.0,14,8,22,14,0,1,9,1,13.3,12.5,10.0,22.5,134,380,1.56,0.89,2.44,1.56,2.44,1.48,1.11,2.59,1.39,2.5
Groningen,21,24.4,49.4,9,99,810,9.0,14,10,24,14,0,0,21,1,12.4,12.4,8.9,21.3,123,317,1.56,1.11,2.67,1.56,2.67,1.38,0.98,2.36,1.38,2.36
Heerenveen,22,24.9,52.6,10,110,900,10.0,17,12,29,15,2,2,19,2,20.4,18.8,14.0,32.7,200,469,1.7,1.2,2.9,1.5,2.7,2.04,1.4,3.43,1.88,3.27
Heracles Almelo,22,25.9,41.2,9,99,810,9.0,7,6,13,7,0,0,15,1,6.7,6.7,5.4,12.1,99,197,0.78,0.67,1.44,0.78,1.44,0.74,0.6,1.34,0.74,1.34
NAC Breda,22,25.6,47.6,10,110,900,10.0,13,9,22,11,2,3,16,2,13.6,11.3,9.7,20.9,141,301,1.3,0.9,2.2,1.1,2.0,1.36,0.97,2.33,1.13,2.09
NEC Nijmegen,24,26.6,58.1,9,99,810,9.0,23,18,41,21,2,3,17,2,17.6,15.3,13.2,28.5,171,418,2.56,2.0,4.56,2.33,4.33,1.96,1.47,3.43,1.7,3.17
PSV Eindhoven,24,25.8,60.9,9,99,810,9.0,26,22,48,26,0,0,15,0,22.0,22.0,19.1,41.1,210,489,2.89,2.44,5.33,2.89,5.33,2.45,2.12,4.57,2.45,4.57
Sparta R'dam,22,27.6,40.6,9,99,810,9.0,13,6,19,11,2,2,13,1,12.1,10.5,8.0,18.5,155,290,1.44,0.67,2.11,1.22,1.89,1.35,0.89,2.23,1.17,2.06
Telstar,22,25.6,44.4,9,99,810,9.0,12,9,21,12,0,0,16,0,13.7,13.7,10.8,24.5,143,346,1.33,1.0,2.33,1.33,2.33,1.52,1.2,2.72,1.52,2.72
Twente,23,26.6,54.3,9,99,810,9.0,17,10,27,13,4,4,14,1,17.0,14.0,11.1,25.1,180,392,1.89,1.11,3.0,1.44,2.56,1.89,1.23,3.12,1.56,2.79
Utrecht,26,26.4,52.1,9,99,810,9.0,18,13,31,18,0,0,10,0,13.7,13.7,10.7,24.4,146,326,2.0,1.44,3.44,2.0,3.44,1.52,1.19,2.71,1.52,2.71
Volendam,23,25.3,43.1,9,99,810,9.0,10,8,18,10,0,0,13,0,8.4,8.4,6.8,15.1,146,260,1.11,0.89,2.0,1.11,2.0,0.93,0.75,1.68,0.93,1.68
Zwolle,24,24.9,43.1,9,99,810,9.0,9,9,18,9,0,0,19,2,8.6,8.6,7.1,15.7,128,299,1.0,1.0,2.0,1.0,2.0,0.96,0.78,1.74,0.96,1.74
